ds,max_temp_c,rainfall_mm,is_holiday,google_dengue_searches,er_trauma_admissions,O_positive,A_positive,B_positive,AB_positive,A_negative,B_negative,O_negative,AB_negative
2018-02-17,21.60115835194749,0.14347068749484992,0,9.913226880701767,0.1168878769772208,70,52,46,19,7,5,10,2
2018-02-18,20.945057710149506,0.4535172348010319,0,17.406580691081885,2.689573500988694,63,46,43,17,5,4,9,2
2018-02-19,18.898587556408014,1.862980773837852,0,15.517228773173038,1.089991521942173,79,58,54,21,7,6,11,3
2018-02-20,21.04866713360283,1.816820214537139,0,1.679790027783179,2.7893815793442522,75,58,54,20,7,5,10,2
2018-02-21,20.405204842417337,1.5625812948113844,0,17.806183955491285,2.3322354487944557,75,62,54,21,7,6,11,2
2018-02-22,20.181798117840707,0.03880249123643087,0,9.435343022996472,2.878842907761422,75,57,53,21,7,6,12,2
2018-02-23,21.54153816081451,0.6540135369922042,0,14.877242897719968,2.754811107093621,61,49,45,18,6,4,9,2
2018-02-24,22.034690825973517,1.2559174706858156,0,2.8007846252870428,4.80053519584281,64,47,45,19,5,5,9,2
2018-02-25,22.011466654520714,0.5503804235469514,0,13.414390514140962,2.7609305446736805,70,47,47,19,6,5,10,2
2018-02-26,20.320107377343724,1.8191733901075546,0,4.726520352189159,4.231160440624336,74,61,53,20,7,6,12,2
2018-02-27,20.931870572706355,1.2677789236648838,0,8.767617942818632,1.5991014340042327,79,61,54,23,7,6,12,2
2018-02-28,21.656699884107596,0.1438134346328912,0,0.3372574016420882,2.1905034439552447,72,58,56,18,7,5,12,2
2018-03-01,22.38790554436433,1.818011177671406,0,3.0322127586095204,2.3520673802240495,76,56,54,23,8,6,12,2
2018-03-02,21.022654846879433,1.915533316352445,0,1.8416098624723953,1.3936402166768986,61,48,42,17,6,5,10,2
2018-03-03,21.4081569669914,0.15542483678345098,0,4.7948834587651685,1.8989513073897761,59,50,42,17,6,5,10,2
2018-03-04,20.581958762335894,1.0647204697226298,0,2.0003618004864454,2.992565397333876,60,48,45,17,6,5,9,2
2018-03-05,20.589027842895188,0.6067285644283409,0,13.838200532391237,2.900938816522662,79,59,52,22,7,6,11,2
2018-03-06,22.69713523232059,0.7856781529628047,0,0.5807980441843874,3.1821767228674025,77,60,50,21,7,6,12,2
2018-03-07,23.34262914682406,0.3593024359106838,0,12.354810012499959,1.7590895771007053,76,57,51,21,7,6,12,2
2018-03-08,22.018533310851893,1.156144204024825,0,2.814156616511485,1.5791574757652853,76,59,48,22,7,6,12,2
2018-03-09,23.200574387184272,1.9159587064977812,0,18.903229143557937,3.0580894137708152,60,44,40,18,6,6,9,2
2018-03-10,22.667487756208256,1.006145200543218,0,18.661881462197087,0.6643087421376248,68,47,42,17,6,5,10,2
2018-03-11,21.771822160609254,0.16582916278896231,0,4.510062050419252,1.2651577176606998,57,44,45,17,6,4,9,2
2018-03-12,22.89167472854286,1.2400026669548168,0,12.28842596446059,0.21063868476497605,74,57,51,21,6,5,12,2
2018-03-13,24.183866336826114,0.6804459889025141,0,0.5601063894491687,0.36305426298040067,68,55,49,20,6,5,10,2
2018-03-14,22.727733577930923,1.7118503791825956,0,18.63577086102348,1.2169163963030445,71,56,47,21,7,6,10,2
2018-03-15,24.44807743299626,0.8693562966329405,0,10.459746163834193,0.09764640148459514,69,55,51,20,7,6,10,2
2018-03-16,20.385671625393783,0.3856792178844912,0,0.8644630283555799,1.2270529604373075,61,48,37,16,6,5,8,2
2018-03-17,23.951374832138555,0.3822112453822899,0,6.849999860162748,3.27488161531013,64,49,41,17,5,5,10,2
2018-03-18,23.342610879908715,1.5375283614423207,0,1.536989237224684,0.3055353923446652,67,49,50,16,6,5,10,2
2018-03-19,23.08464646711135,0.5311751966147198,0,7.8588887874671975,2.183683388973205,73,55,52,20,7,6,11,2
2018-03-20,23.605465166185688,1.534466788318446,0,13.398526843226461,4.5655439345977475,73,57,52,22,7,6,12,2
2018-03-21,21.658108076497335,0.41177462153319877,0,9.397798160828792,3.9564241446270048,78,61,57,22,7,6,13,2
2018-03-22,23.55986062775381,0.6433727374026188,0,7.67444349438909,1.527187511474286,84,57,54,21,7,6,12,3
2018-03-23,24.272343870360483,0.9309739448793988,0,2.383140910809296,4.624027395958235,66,45,41,18,7,5,11,2
2018-03-24,25.53062717513388,1.8863916993869014,0,4.898780913873127,1.6482324837386242,68,54,50,18,7,5,10,2
2018-03-25,23.673727047188343,1.8634628495076493,0,2.0028657547670226,0.36257748168781245,60,48,40,16,6,5,9,2
2018-03-26,23.524488834195637,0.4137437508445756,0,16.149974633133215,4.970279783840567,77,60,49,22,7,5,11,2
2018-03-27,23.973889824739267,0.7164380824861456,0,2.704796559694451,4.350112635945859,114,88,81,31,11,8,18,4
2018-03-28,25.535350402319075,0.29879877690754464,0,11.90746733097787,2.329663916505462,116,87,77,33,11,9,18,3
2018-03-29,25.094595036004183,1.0199701586269942,1,6.854808271776918,3.3318826209620194,56,38,37,13,5,4,8,2
2018-03-30,24.383530357711916,0.9211651013893332,1,4.51956769310367,3.356140389283351,37,30,27,11,4,3,6,1
2018-03-31,25.575511931513585,1.8015203249014649,0,12.789368789842076,0.9724111536523017,68,48,47,17,6,5,11,2
2018-04-01,25.309739148190154,1.8600107555821452,0,9.140046187538813,1.0002431657681616,62,47,43,16,5,5,10,2
2018-04-02,26.333142281504383,0.7671347820145842,0,8.002909345691183,2.347903516759129,74,57,51,21,7,5,11,2
2018-04-03,24.81565348871854,0.9834758860379789,0,11.85704009784443,4.55786570068849,73,57,57,21,7,6,11,2
2018-04-04,25.34458192789792,1.7924724982922662,0,9.825352569800014,0.049968874292853904,78,65,54,23,8,6,12,2
2018-04-05,25.435955820744674,1.613415615490123,0,6.0696841710312155,3.9125281797467966,73,60,53,20,6,6,11,2
2018-04-06,24.52160515980815,0.0073126226892985535,0,11.181225755305032,0.2876339185732707,61,54,48,20,6,5,10,2
2018-04-07,26.439486214628506,0.640119128367165,0,13.389971531013892,2.391110574415589,60,47,45,17,5,5,9,2
2018-04-08,26.56380984327316,0.8435484838722518,0,0.5338631717370856,3.1893641653673823,65,51,44,18,6,5,10,2
2018-04-09,26.468352234878747,0.45943256736646343,0,9.317434578153508,3.433796335412324,81,64,52,20,7,6,12,3
2018-04-10,26.39018387068372,0.3991432317918775,0,1.1536656916708754,0.2923963180795569,74,62,59,21,7,6,13,2
2018-04-11,25.371932641025943,0.07556901319135934,0,3.7281082813622213,2.093018086919841,77,54,49,21,7,5,11,2
2018-04-12,26.53014243067175,1.286739450139521,0,11.210174681559462,2.919186302511623,81,59,51,21,7,6,12,2
2018-04-13,26.77246115466714,0.5250205809663313,0,17.323778305311613,0.33022768653003465,66,51,44,18,6,5,10,2
2018-04-14,26.478141155437324,0.10469435686262618,0,17.656113583769695,0.6754727829765489,56,43,39,16,5,4,9,2
2018-04-15,27.28518133717212,0.4619586210561273,0,1.3988802027726255,3.3182449475201925,59,46,43,17,5,5,10,2
2018-04-16,28.01732319675504,1.603827905672253,0,8.382101725734133,2.6081909829532584,78,63,53,22,8,6,12,3
2018-04-17,29.666970771168877,1.7029783632930933,0,11.660129660091025,0.8091433063414527,78,54,52,20,7,6,11,2
2018-04-18,28.123532814145648,0.9661324903866053,0,2.941398091006868,2.676196684573667,74,53,53,21,7,5,12,2
2018-04-19,28.37528329229032,0.8321413408173723,0,15.308644334895433,4.563461867222079,78,59,55,20,7,6,12,2
2018-04-20,28.21262264241906,1.9557073870035635,0,14.884705168744777,0.07793792387681964,67,53,47,19,6,5,10,2
2018-04-21,26.538140578058147,0.4011293191761398,0,18.066820274135893,3.213168867429273,60,42,41,18,5,5,9,2
2018-04-22,28.600698403418132,0.43071856570921696,0,0.16972024166886035,0.36825217302670965,63,50,45,19,6,5,10,2
2018-04-23,28.858149760947498,0.5837343540727995,0,4.333684879780053,0.03224721482350423,72,59,49,21,6,5,11,2
2018-04-24,31.43222513801094,0.3455146365621746,0,16.543734284906435,0.753272443303169,70,56,50,19,7,5,11,2
2018-04-25,28.94799104784441,104.76035968470521,0,13.411601016538707,2.1145331592695964,80,59,52,22,7,6,12,2
2018-04-26,29.613523074310415,1.8216684539795076,0,17.887797073969814,4.011719994909765,81,57,52,22,7,6,11,2
2018-04-27,29.449091558062218,1.2306956812571486,0,1.1435930906053304,1.4089274830227931,68,49,47,18,7,5,10,2
2018-04-28,28.48710584615301,0.8238930972245273,0,11.939279314328857,3.128366061943793,101,76,65,26,9,7,15,3
2018-04-29,30.970689252956674,1.8688215891424296,0,11.380931497873483,2.055783189776533,67,51,43,19,6,5,10,2
2018-04-30,30.751933032686775,0.09692846495164464,1,0.7134883272106474,1.1716589598300398,51,36,34,16,5,4,7,1
2018-05-01,30.963165508601392,0.42055235580372274,0,10.27044153824967,2.5712355714142934,69,55,50,19,6,6,11,2
2018-05-02,29.434828661432718,1.131777210203518,0,99.47881167146514,3.987322451863116,76,63,56,20,6,6,12,3
2018-05-03,31.918990983168637,1.2311052463863583,0,3.8258634840421446,4.162461850280721,78,59,57,22,8,6,13,2
2018-05-04,29.286173205230916,0.07911501312522629,0,5.466591662493259,4.232597659386183,63,54,44,17,6,5,10,2
2018-05-05,31.446505081174735,0.8060775158142643,0,12.80694692595474,1.6927890627748972,62,50,47,19,6,5,11,2
2018-05-06,33.22147260028433,1.2983079296617455,0,9.366018951999166,3.9672803235787653,64,48,42,18,6,5,9,2
2018-05-07,30.21154412386284,1.3961410928068032,0,17.160273151366535,1.0608922755445394,80,62,53,21,7,6,12,2
2018-05-08,30.806489991529876,1.2762798050325386,0,6.847635320183767,3.6921255062144165,70,52,48,21,7,6,11,2
2018-05-09,31.642739571730452,0.6411264487218491,0,5.333193167764023,4.741922131363083,121,92,88,34,11,9,20,4
2018-05-10,31.209455787698577,0.18704024719581902,0,19.697318806896856,0.06871917345478595,84,62,53,24,7,7,12,3
2018-05-11,30.33160366736631,0.8542248928386682,0,18.22271540260167,2.20181965589399,56,44,41,16,5,5,9,2
2018-05-12,32.11960797349222,0.25750887473611095,0,0.5798548999795972,3.238854942070023,64,51,42,19,5,5,10,2
2018-05-13,31.15691141631555,1.8952473170413342,0,15.414572306131317,3.508878852437765,64,46,47,17,6,5,11,2
2018-05-14,32.86032009069468,0.9503417320452565,0,2.206695476504059,0.880438791346011,80,62,54,22,7,5,12,3
2018-05-15,31.63410871692807,0.6345183487137351,0,0.549703896587419,4.860916376192964,71,53,51,21,7,6,12,2
2018-05-16,34.26951598035859,1.5326081422378002,0,5.473910319326977,3.0763268398548647,81,61,56,22,7,7,12,3
2018-05-17,32.101571036469856,0.9958971851645277,0,5.386917581222086,0.8217030061413388,78,57,55,21,7,6,12,3
2018-05-18,32.72715073035721,0.6200680480249001,0,16.386375246939295,0.10261255856257645,61,51,42,17,5,5,9,2
2018-05-19,34.026213834293316,1.6239354847816034,0,14.213344918856702,3.9163209939488794,60,42,41,16,6,4,9,2
2018-05-20,32.14436467950718,1.734304302002244,0,19.632188546640286,0.3985236972272954,67,51,45,18,6,5,9,2
2018-05-21,33.764221156367846,1.346016332577354,0,14.230258006236369,0.7052546053511827,80,52,47,22,7,5,11,2
2018-05-22,35.004388183189164,0.09392884481533459,0,8.365111065120958,2.874150134278453,82,61,48,21,7,6,11,2
2018-05-23,32.24915082787484,1.1326457603330642,0,13.978553218904338,3.017527517248099,75,61,55,22,7,6,11,2
2018-05-24,34.19951375059203,1.5265898239945632,0,19.989181343728042,3.4344355929619925,70,60,53,21,7,6,11,2
2018-05-25,34.431818820371596,0.27300602416716435,0,14.202837651250562,1.9675700633181037,67,54,44,18,6,5,10,2
2018-05-26,35.10957879728162,0.4573415027692067,0,15.233627119606366,3.8694933448341144,63,49,40,17,6,5,10,2
2018-05-27,33.245342706526024,1.7649902101362729,0,18.767300303805186,4.871792998079443,70,52,42,19,6,5,10,2
2018-05-28,33.31504609594423,0.040243443706148074,0,2.273025226233667,1.355474715399415,82,63,55,23,7,7,13,2
2018-05-29,35.30927996677478,1.505454275651952,0,14.095685868954536,3.5151430826897294,75,59,54,21,7,6,11,2
2018-05-30,35.23474017483296,0.9475465850288458,0,17.01611915934898,4.6423432619757845,82,59,53,21,7,6,12,2
2018-05-31,35.33720228886692,0.8935443176792137,0,19.08757200441786,3.4314338130852136,85,62,57,23,7,6,12,2
2018-06-01,35.58060428315248,8.38648841986727,0,4.219385794233988,3.4055474932212975,61,52,44,18,6,5,11,2
2018-06-02,34.70002699380451,10.786880344132452,0,10.078580154484884,1.118862845426033,63,51,47,17,6,5,10,2
2018-06-03,35.7566068288372,26.71023809867335,0,13.611096952889636,2.6756510015984647,61,47,42,15,5,5,9,2
2018-06-04,35.960090036209856,28.16159494890462,0,4.949354590026749,2.812614218022901,77,56,51,22,7,6,12,2
2018-06-05,35.09365131651164,15.490684570170258,0,12.00945726500548,3.500647812279764,77,63,53,21,7,6,12,2
2018-06-06,37.81304138075239,6.265561806726853,0,5.151575649959987,4.984107249480913,80,59,59,22,7,6,11,2
2018-06-07,36.55860162206305,5.9847958423204854,0,6.669140410632945,0.1682191127188104,85,65,60,22,7,6,12,3
2018-06-08,35.029163987206026,19.34874665172526,0,8.830373930217302,30.06286554996043,65,46,42,17,6,5,9,2
2018-06-09,37.0108766175356,14.822377722329476,0,10.58380197493134,0.3897503471545938,115,84,78,31,11,9,18,4
2018-06-10,35.511613940122494,5.716310689441363,0,90.94474855758567,3.714895672444784,57,49,42,18,6,4,9,2
2018-06-11,37.40343078616523,19.58130980781392,0,84.62351766274789,0.6817689755537876,79,61,55,23,8,6,13,2
2018-06-12,37.903031767336856,5.282563414725562,0,5.971775125765852,3.1122593724517262,73,60,51,22,7,5,11,2
2018-06-13,36.04984535388496,24.684298953731822,0,3.179301880452612,1.623344389467292,80,60,55,22,7,6,11,2
2018-06-14,37.957959399760796,12.660820567584288,0,0.9469995465367886,2.286599781053555,112,87,77,31,11,8,17,3
2018-06-15,37.529347149754244,6.006450075230802,0,3.919574449833354,1.0783157990870695,70,44,43,18,6,5,10,2
2018-06-16,38.05850054295362,19.708805524578835,1,11.63887283011566,23.041538140532587,35,27,22,11,3,3,6,1
2018-06-17,39.250963212293804,14.942110360826367,0,15.722308956062648,2.9307516208151316,147,109,100,40,13,11,23,4
2018-06-18,37.22433276096268,29.345010333928737,0,3.3849519488578905,4.722816317911263,130,93,87,33,11,10,18,4
2018-06-19,36.829321920428136,18.604966562592555,0,2.1711071554529693,2.872981248521648,79,63,56,21,7,7,13,2
2018-06-20,36.80463383921386,11.880979525925207,0,80.78487152081092,0.6195401529847333,78,58,54,23,7,6,12,2
2018-06-21,36.98714822574232,22.73597161584937,0,6.103166610745793,0.8543521691923772,70,59,50,21,7,6,11,2
2018-06-22,37.83235485815367,11.787300063567784,0,19.02998878454705,4.945369881839236,61,45,40,17,6,5,9,2
2018-06-23,38.35476285656341,27.606082285189128,0,14.28635941220746,33.72916968369252,66,55,47,20,6,5,11,2
2018-06-24,38.39208138940363,14.36804926268441,0,6.535120944860617,0.2463937501454483,124,96,81,32,11,10,19,4
2018-06-25,39.04194878206017,18.74671406940513,0,92.11058549782544,3.518905025173324,73,59,48,20,7,6,10,2
2018-06-26,38.32470815553599,6.264327595605721,0,10.473967725426181,2.060865234048058,76,60,57,22,7,6,13,2
2018-06-27,39.8597181335021,15.65303094880577,0,1.5828933655641886,1.5360419341159526,124,88,83,34,11,9,19,4
2018-06-28,38.233514082037324,25.809088491524875,0,85.55844021538718,0.7703039686526714,76,59,50,20,6,6,11,2
2018-06-29,41.30780874934765,25.141220134083547,0,3.51715762632385,21.61368054070794,64,46,46,16,5,4,9,2
2018-06-30,39.30023089506098,10.607963971338156,0,90.99976831731905,0.31920689494550347,95,73,70,26,10,8,15,3
2018-07-01,37.90175949502615,10.651976775264067,0,10.27714718538245,1.4491773118982016,61,45,41,18,5,4,8,2
2018-07-02,37.769782601372526,25.43263280533092,0,0.21134245548885877,1.5319144691285218,123,96,84,33,12,10,18,4
2018-07-03,39.40228587983867,28.25996050423314,0,13.47033054944218,0.8045264198175017,74,55,52,20,7,6,11,2
2018-07-04,38.77284591119658,7.384023031825089,0,8.473803573209942,2.5409244164343514,70,58,50,21,6,6,11,2
2018-07-05,39.78413862211845,16.25146598565563,0,92.28087213945128,0.05851313405446312,122,94,86,33,11,9,19,4
2018-07-06,39.61451750642688,13.436356974105724,0,90.20525292441299,1.5048775770520457,64,45,41,15,6,5,10,2
2018-07-07,39.13688396450947,26.767211386435985,0,11.035644567882073,33.70883298599456,111,84,74,28,10,8,16,4
2018-07-08,38.42862311772356,7.088122867000469,0,19.58306479502977,1.5526478467100286,119,97,85,33,11,9,19,4
2018-07-09,37.823525063543386,10.278148563950936,0,84.66790903456814,1.8022969355337581,71,57,54,21,7,6,12,2
2018-07-10,38.952045627351936,23.811708439662358,0,98.82518128355295,2.365825241170358,74,58,51,21,7,6,12,2
2018-07-11,40.3123626685949,6.282346224530389,0,4.859951857216595,2.8084668742573737,75,61,54,22,7,6,13,2
2018-07-12,39.72465890708174,17.31338451785723,0,4.970986215023592,4.04354322410372,124,97,82,32,12,9,20,4
2018-07-13,38.31660948720707,16.052675866993,0,7.574127151307546,28.409643877189794,111,86,78,30,10,9,17,4
2018-07-14,39.78447876457419,13.360029474718717,0,96.11369577753784,4.358731885962786,108,84,77,33,10,8,17,3
2018-07-15,40.042716756277386,14.864307882973094,0,18.25717379928775,3.787746785719447,71,46,48,20,7,5,10,2
2018-07-16,38.81678178231394,18.248514673255823,0,4.044301749179466,3.613251673307776,125,94,85,35,12,10,21,4
2018-07-17,39.89472965766973,9.034183959709578,0,93.5901604547311,0.4340228685731762,125,93,91,34,11,10,19,4
2018-07-18,39.83669213350257,19.29989695708982,0,12.737979443309605,0.10820344987292341,68,58,49,20,6,6,12,2
2018-07-19,38.67009440488547,25.13580823249966,0,10.4365494872769,2.97006350454042,65,55,53,20,7,6,11,2
2018-07-20,40.202525527869206,24.004023244753977,0,8.681527883938392,34.852977356935355,60,49,43,19,6,5,9,2
2018-07-21,40.4342789503081,8.847497617344342,0,3.8395101171847568,2.92220732070318,166,129,117,47,15,13,25,5
2018-07-22,40.98237619404881,8.731236743536847,0,9.76438718398477,1.066174327227654,67,48,46,18,6,5,10,2
2018-07-23,40.97602414621422,11.704359193622834,0,8.024296554226577,0.4525994897460661,67,61,52,20,7,6,11,2
2018-07-24,38.564509700982434,14.02686815852593,0,15.911267250045393,3.497982264088675,124,94,81,34,11,9,18,4
2018-07-25,39.02136492155667,15.211389535212065,0,15.272087183259904,3.6088513865890475,79,65,55,22,8,5,12,2
2018-07-26,40.48828499829021,21.99243042083363,0,87.03653794173623,0.8626585034355433,84,63,55,22,7,6,11,2
2018-07-27,40.49814016246785,6.417010804145885,0,84.651892739277,0.1409515774826814,58,47,46,16,6,5,9,2
2018-07-28,40.50754779870288,5.86681760565166,0,18.16307886455006,2.0414175661159852,62,50,39,16,5,5,9,2
2018-07-29,43.85041651045363,14.797764073597726,0,10.710167779289954,2.9135935106651107,64,47,43,17,6,5,10,2
2018-07-30,40.57079790805507,22.42909230344951,0,17.156018745651814,3.530012047835956,81,58,55,22,7,6,12,2
2018-07-31,41.13473222672798,9.835883573912064,0,1.163022411328023,4.049725045764514,78,59,54,22,7,6,12,2
2018-08-01,40.94946457036678,21.037612031406294,0,10.530312330432604,3.0526871365336614,81,63,55,20,8,6,12,2
2018-08-02,40.64018840715613,11.495703448507488,0,88.85741012211781,0.5544030429924252,127,93,88,34,11,10,18,4
2018-08-03,39.66390236401357,27.15215272033791,0,17.214040650843,29.20376277283815,104,81,67,28,9,8,17,3
2018-08-04,40.72555823803497,27.39224860666541,0,1.9521999645941501,20.782358462799937,113,82,76,32,11,9,17,4
2018-08-05,39.17822789646941,12.432180107033162,0,4.808911273518186,4.5279229229870195,91,76,63,27,9,7,15,3
2018-08-06,39.695749885934134,10.749843849081014,0,86.56704147621437,4.358344546347563,83,58,53,22,7,6,13,3
2018-08-07,39.42577709210544,15.282599301655782,0,17.316829508398843,1.5108507667917044,87,60,61,23,7,6,13,3
2018-08-08,39.96865004170973,11.013289629503717,0,81.4672151903384,3.7539408822700033,71,61,54,21,7,6,11,2
2018-08-09,42.174140066311814,21.80959608229259,0,19.854492391872558,4.2555172298257276,124,99,88,34,11,9,19,4
2018-08-10,37.962000327208074,25.65161711370714,0,89.70506509186454,32.789336562141756,70,53,46,20,6,5,11,2
2018-08-11,40.48239710682941,21.827303272780426,0,95.69548642325579,22.582514681966764,119,92,84,32,11,9,18,4
2018-08-12,38.14738963513403,25.60876118123374,0,0.9541668290774408,4.7691698593747915,101,76,65,29,9,7,15,3
2018-08-13,39.24925010050118,14.924804055186854,0,2.9521363831517733,2.2540970572933796,160,122,114,44,15,12,24,5
2018-08-14,40.768328427208004,8.907924267721521,0,6.977241935405463,0.649027793329397,75,58,51,20,7,6,11,2
2018-08-15,39.69898550473695,23.448773684939805,1,16.598360619739175,0.54888947528696,94,68,64,26,8,7,14,3
2018-08-16,38.50943339194366,14.011862628538847,0,85.42537172966354,3.237594936495229,74,57,52,19,7,6,11,2
2018-08-17,38.82150625704449,21.781770630728314,0,92.29868355834294,22.8880222658566,107,85,77,31,10,8,17,3
2018-08-18,40.16321354905639,11.766098549544141,0,99.54375478264836,0.4724193758948181,146,110,101,39,14,11,22,5
2018-08-19,38.697244802187065,7.030740870166817,0,82.22628642955101,3.701822860780473,66,51,39,18,6,4,9,2
2018-08-20,39.58527205253629,29.814544887194085,0,9.274634718626416,3.9966258362930986,113,90,79,31,11,9,19,4
2018-08-21,39.35281115028361,8.905037698264982,0,2.0708714390556793,3.6270781539322567,76,63,57,23,8,6,13,2
2018-08-22,38.59130687432512,29.710524849087026,1,99.3722763069186,1.0113043884200645,54,41,36,15,5,4,9,2
2018-08-23,41.31978034991926,29.43199831416118,0,7.515898045761144,3.448877279980347,117,92,86,33,11,9,19,4
2018-08-24,39.73996532326017,24.84545259770099,0,97.9645838632566,22.495440864675828,107,87,75,30,11,9,17,4
2018-08-25,37.00841543658924,21.48557405204994,0,8.773173688142073,22.215852925956973,146,112,101,41,14,11,23,4
