ds,max_temp_c,rainfall_mm,is_holiday,O_positive,A_positive,B_positive,AB_positive,O_negative,A_negative,B_negative,AB_negative
2018-02-08,17.498889734682216,0.39283653012841513,0,54,40,39,9,7,4,1,3
2018-02-09,20.580657769022153,0.5472160531188465,0,52,30,38,8,4,3,0,0
2018-02-10,21.69844974493425,1.0824614455456292,0,45,28,36,9,1,0,3,1
2018-02-11,20.601732010655738,0.578545352528409,0,47,37,33,11,2,0,0,0
2018-02-12,20.068064216708446,0.772995029348238,0,69,44,42,14,4,5,6,0
2018-02-13,19.740393232272876,0.29000180153214666,1,48,34,33,12,3,0,1,2
2018-02-14,17.431658180542136,0.7024560835871664,0,43,38,43,8,4,3,4,1
2018-02-15,18.99796331729153,1.6985908428983458,0,40,34,44,10,3,4,4,1
2018-02-16,19.568157295128888,1.1662683581641082,0,41,33,39,10,6,1,4,1
2018-02-17,22.658280578166405,0.8514951103807854,0,41,40,30,6,4,0,0,0
2018-02-18,21.288675999717967,2.7444052659574787,0,31,27,31,5,1,1,0,0
2018-02-19,17.13554740104528,4.479407852644626,0,43,42,38,11,3,0,3,1
2018-02-20,21.372751102997626,2.8276536322965056,0,50,42,35,7,2,2,2,2
2018-02-21,20.02012256200102,0.8069363130408275,0,55,47,30,16,3,4,6,1
2018-02-22,19.504876117534746,2.728613091958098,0,61,47,39,13,0,1,2,0
2018-02-23,22.15321444965538,0.329702547478611,0,48,34,36,12,5,4,3,0
2018-02-24,23.065690348469467,0.27925527539884,0,43,29,14,10,0,1,0,0
2018-02-25,22.942746773636912,0.848155620622842,0,34,15,25,8,3,0,0,0
2018-02-26,19.480889854121088,3.2974218919703326,0,41,52,46,14,3,2,2,0
2018-02-27,20.62265819685514,0.5656497680728125,0,48,47,41,14,3,1,1,2
2018-02-28,21.98796331551116,0.13068496076961833,0,50,41,45,14,0,4,0,0
2018-03-01,23.36345067148669,0.2824579668823495,0,51,44,38,12,7,4,2,0
2018-03-02,20.54348060903414,3.914376577120959,0,38,60,41,10,3,1,4,3
2018-03-03,21.222497990327582,2.0090600052735197,0,46,21,23,7,0,1,0,0
2018-03-04,19.475623788329866,0.5839188502447866,0,46,26,29,8,0,0,2,1
2018-03-05,19.392821218814518,1.620691987791671,0,44,35,37,15,5,1,3,1
2018-03-06,23.509661054714787,1.4997721186355737,0,59,34,33,8,3,4,4,0
2018-03-07,24.698869175394883,2.130950733450333,0,50,26,41,13,1,1,2,1
2018-03-08,21.94652318927156,0.5310260748039098,0,50,43,36,7,2,1,2,1
2018-03-09,24.204107285076294,3.9961358663514077,0,56,33,33,8,8,2,4,2
2018-03-10,23.02912378125589,0.7402979448887466,0,47,20,21,8,0,0,0,0
2018-03-11,21.126702406004128,2.3692010227254054,0,43,31,32,11,1,0,1,0
2018-03-12,23.253070334051273,0.0325121261921971,0,37,35,33,13,2,4,3,2
2018-03-13,25.721902903292083,0.9325240910777582,0,52,41,39,9,4,2,2,1
2018-03-14,22.691907538820974,0.8668337421513528,0,45,45,37,14,3,4,4,0
2018-03-15,26.012721088810267,1.5682649381727927,0,56,36,25,10,4,3,2,3
2018-03-16,17.76592652130404,0.15103449325716037,0,52,51,43,7,3,5,2,2
2018-03-17,24.77327733651378,3.1225470663983352,0,37,25,22,7,0,3,2,0
2018-03-18,23.429657948146886,0.49124054613956053,0,30,28,25,9,4,2,0,0
2018-03-19,22.785639116645484,2.2604400731025622,0,54,35,35,17,6,3,1,0
2018-03-20,23.69722594272119,3.251257796223046,0,43,41,46,9,2,2,1,1
2018-03-21,19.670539161896443,1.6505109724676172,0,50,30,37,14,3,6,2,0
2018-03-22,23.3401887399163,2.7009527592556313,0,53,36,27,8,7,4,1,0
2018-03-23,24.629456441872232,2.168592382808665,0,39,49,36,9,7,1,3,0
2018-03-24,27.008521219875398,0.8786533812921649,0,34,28,27,9,2,2,1,0
2018-03-25,23.155456828914698,3.309482983473816,0,40,27,24,6,1,0,1,0
2018-03-26,22.715995231302447,0.6982679540868602,0,53,42,39,7,4,3,1,0
2018-03-27,23.47213278115473,1.693589590065348,0,66,46,55,18,8,6,4,2
2018-03-28,26.45075252002115,2.7361054257143445,0,81,58,58,30,10,7,9,4
2018-03-29,25.423346145663867,0.9527064017546638,1,59,53,45,10,8,8,4,4
2018-03-30,23.85377015394488,0.7212730114811704,1,62,34,46,12,5,6,4,1
2018-03-31,26.08877936462694,1.2299515598638582,0,32,32,27,6,1,1,1,0
2018-04-01,25.406816697538193,3.407096063039529,0,43,27,19,5,1,0,0,0
2018-04-02,27.30178727203727,5.31628598342503,0,45,38,43,7,4,7,1,2
2018-04-03,24.113600394841185,1.575282403608108,0,48,33,26,12,3,2,2,0
2018-04-04,25.01691978130015,2.166262710101634,0,53,42,38,12,6,5,2,1
2018-04-05,25.043847667612514,4.6717382687833995,0,37,37,37,9,2,3,4,0
2018-04-06,23.05809021167603,0.20749441639451396,0,47,26,37,7,6,5,0,3
2018-04-07,26.73560649169308,0.5281357319977935,0,43,29,21,6,2,0,1,0
2018-04-08,26.82486511545305,2.468176899412562,0,27,44,31,7,0,1,2,0
2018-04-09,26.473465691521206,3.4716408320184526,0,38,48,39,10,3,5,3,0
2018-04-10,26.155596737308574,3.8902273292945897,0,43,34,39,18,11,0,0,0
2018-04-11,23.95656189897553,1.0726533136680023,0,61,37,41,13,5,5,1,2
2018-04-12,26.10949710790639,0.18717112067365418,0,45,36,31,14,5,5,3,1
2018-04-13,26.429746638140372,1.1517293484713684,0,50,41,34,9,4,7,5,1
2018-04-14,25.675863886215705,0.5246384655012079,0,37,30,26,2,0,2,1,0
2018-04-15,27.123895625506112,0.6883537565763499,0,33,27,30,5,3,1,1,0
2018-04-16,28.42137405356958,2.9591676680266468,0,50,39,39,8,5,1,2,0
2018-04-17,31.553156672379405,0.15706305322214473,0,58,38,38,17,5,4,2,1
2018-04-18,28.298110626977486,3.515657958718319,0,44,42,32,10,2,5,1,2
2018-04-19,28.632833683013086,1.1160758671896953,0,38,36,35,10,9,4,0,0
2018-04-20,28.13817672665289,1.812997317683196,0,47,41,35,10,5,2,4,4
2018-04-21,24.619369362759105,0.18785717799965532,0,30,24,24,7,1,1,2,0
2018-04-22,28.574184527968917,0.823044063656382,0,36,21,26,5,5,1,1,0
2018-04-23,28.918379970888527,0.1879641460900021,0,48,41,39,14,3,3,3,0
2018-04-24,33.895467250496225,6.5164666845752155,0,40,46,34,15,4,5,4,1
2018-04-25,28.755630083063288,3.292843411710783,0,50,37,40,9,5,2,5,3
2018-04-26,29.915070416644028,1.2310125721028553,0,47,36,34,7,4,4,2,1
2018-04-27,29.414379788356975,0.5061814198461073,0,44,48,27,12,2,6,3,2
2018-04-28,27.318427808533478,5.4197569001582675,0,38,46,38,8,5,3,3,1
2018-04-29,32.113512067471696,0.845008697079072,0,67,33,46,7,4,2,3,0
2018-04-30,31.503866065373547,0.3510520337826965,1,75,36,53,10,3,5,6,0
2018-05-01,31.75419745564444,1.6563966592198696,0,58,36,41,8,4,3,3,2
2018-05-02,28.52544120663798,5.756756271982622,0,63,26,29,13,3,0,0,0
2018-05-03,33.321785294104735,0.007675289697028423,0,52,44,43,6,3,3,2,1
2018-05-04,27.884322142438638,0.543945146018918,0,43,43,36,13,5,3,3,1
2018-05-05,32.033362174975004,5.575734181887273,0,37,21,32,6,0,1,1,0
2018-05-06,35.411928226094304,0.37527765737964025,0,36,32,33,3,0,0,0,1
2018-05-07,29.22100779873215,0.24036960136219312,0,48,36,35,14,4,8,4,3
2018-05-08,30.240192261927106,1.6888111013665825,0,67,37,38,14,3,5,2,1
2018-05-09,31.742390936818094,3.958741036954072,0,42,40,39,8,2,4,2,0
2018-05-10,30.705980133582376,1.2967676268711634,0,41,36,37,14,1,5,1,1
2018-05-11,28.78094023630018,10.429518006367047,0,47,32,35,17,6,4,3,3
2018-05-12,32.18817094829825,2.2736983769660273,0,36,21,28,6,2,0,0,0
2018-05-13,30.094607702589443,0.1539238818476334,0,42,38,29,7,0,2,1,0
2018-05-14,33.333912521329864,9.876293948579098,0,48,50,40,7,2,5,2,0
2018-05-15,30.714684482694263,1.0481400119347124,0,49,35,37,9,2,3,2,0
2018-05-16,35.81945038537613,0.6776771631840569,0,55,42,27,10,1,5,2,2
2018-05-17,31.318317744133616,1.6323441878671452,0,58,50,30,14,3,4,1,1
2018-05-18,32.40508921415154,0.7256953172086833,0,43,42,33,8,3,4,1,2
2018-05-19,34.83973105166298,123.1074913590302,0,58,38,48,13,5,8,6,3
2018-05-20,30.913500363073226,0.0028587282670914935,0,39,28,29,5,3,2,0,0
2018-05-21,33.99168109097198,1.1941594947987033,0,57,32,32,13,2,2,2,0
2018-05-22,36.31153093747159,3.6263350571352717,0,54,37,33,17,0,2,0,1
2018-05-23,30.641667593313617,1.6987375394212434,0,47,31,41,18,5,5,0,2
2018-05-24,34.38414760912434,14.280128770521504,0,56,42,35,14,4,3,5,2
2018-05-25,34.691701614620015,0.6761175969023342,0,44,30,45,17,1,5,2,0
2018-05-26,35.891401669058936,0.6582726023578703,0,40,30,21,8,2,0,0,0
2018-05-27,32.00839199564794,0.3481103399793545,0,42,36,30,4,2,1,1,0
2018-05-28,31.994589482859954,0.358405462617358,0,56,24,43,17,4,3,6,1
2018-05-29,35.83122153239168,0.6714674875764999,0,39,27,37,15,7,9,3,2
2018-05-30,35.53172484806615,3.148528111940478,0,51,37,34,23,4,3,1,1
2018-05-31,35.58769513921279,4.723753008885531,0,62,31,34,14,9,4,3,1
2018-06-01,35.92705249264946,16.02457558372956,0,58,35,35,8,7,0,3,0
2018-06-02,34.020002272226016,53.18515106644557,0,56,44,39,12,7,6,2,3
2018-06-03,35.9888605259982,12.389513055528353,0,35,38,22,6,1,1,0,0
2018-06-04,36.25316250950854,18.81601164787253,0,42,29,44,10,2,7,0,2
2018-06-05,34.37929989848527,1.0635884900447563,0,51,39,39,12,3,2,1,1
2018-06-06,39.678815891897145,8.110692341145228,0,34,33,42,13,1,4,2,1
2018-06-07,37.03243454297484,1.8555573719499325,0,36,49,35,5,1,1,4,1
2018-06-08,33.83786049000337,14.232047524624393,0,52,44,50,17,2,1,1,1
2018-06-09,37.66743022616943,41.82642053856874,0,39,21,27,3,0,1,1,0
2018-06-10,34.53693226989517,16.260780050745396,0,33,29,19,7,1,0,1,0
2018-06-11,38.19051538990769,1.1986902770118475,0,40,41,32,13,3,3,5,0
2018-06-12,39.06162734634426,6.569813765974543,0,51,29,37,16,4,2,1,1
2018-06-13,35.22916303553325,11.999744406304494,0,54,49,42,13,3,4,2,0
2018-06-14,38.92133552900511,7.742793395683012,0,59,51,50,19,5,5,5,6
2018-06-15,37.94212807669074,26.904379074094603,0,56,48,52,11,6,8,5,1
2018-06-16,38.8805607029481,25.284340205732708,1,42,26,32,9,0,1,0,1
2018-06-17,41.14775619494775,14.194717784552974,0,36,28,32,7,2,0,0,0
2018-06-18,36.97894464495981,7.013090703229173,0,39,39,40,13,2,4,1,0
2018-06-19,36.075585756070645,4.42234006455344,0,44,36,46,14,2,5,2,0
2018-06-20,35.91511940958833,1.6786339505304149,0,48,34,41,8,0,2,3,1
2018-06-21,36.17133794077688,6.575195167701123,0,55,39,48,9,5,6,3,1
2018-06-22,37.75525314873956,7.995365981785496,0,46,31,31,16,4,4,2,2
2018-06-23,38.69591483138005,16.896980775374743,0,34,34,30,5,2,1,0,0
2018-06-24,38.66877218873365,16.101179604843768,0,40,38,37,7,1,1,0,0
2018-06-25,39.86913203109619,1.090304681698967,0,51,33,33,10,8,1,2,0
2018-06-26,38.33771004741389,7.5443330007406075,0,44,36,43,12,6,3,1,0
2018-06-27,41.31325221065942,3.0093396815668827,0,39,35,41,12,3,3,1,2
2018-06-28,37.96885724879937,2.558492539258516,0,55,34,40,18,2,3,6,2
2018-06-29,44.02797791593727,26.343176125794542,0,53,42,32,11,4,4,5,0
2018-06-30,39.92589824282598,0.6422850694652185,0,36,21,33,13,2,0,2,0
2018-07-01,37.044601938609865,8.149789983998797,0,18,28,25,11,1,2,1,1
2018-07-02,36.69889010331141,2.762514700344268,0,40,29,44,8,3,2,6,3
2018-07-03,39.88475829508186,31.72046278859279,0,47,54,36,16,5,1,3,1
2018-07-04,38.54938312587073,12.21415447810671,0,40,35,38,7,5,3,1,0
2018-07-05,40.49813911621054,3.9473911170012177,0,51,30,44,12,3,3,6,1
2018-07-06,40.08775513100043,10.470203649207123,0,47,41,41,11,5,4,0,3
2018-07-07,39.0640550518526,19.722803467094927,0,35,29,25,5,2,0,1,0
2018-07-08,37.581829399655156,47.593490273910035,0,38,33,36,5,2,2,1,0
2018-07-09,36.30867783885752,3.735499847299256,0,46,27,41,10,9,3,6,0
2018-07-10,38.505530675284916,32.597288932592484,0,58,33,45,17,5,3,4,0
2018-07-11,41.16876146291837,40.84078463943095,0,50,32,34,3,5,4,5,0
2018-07-12,39.93875265121194,37.229363056255345,0,46,39,30,8,6,4,3,2
2018-07-13,37.07087070849508,15.134906918010236,0,52,43,45,11,4,4,1,1
2018-07-14,39.957659690425366,14.906515095562971,0,37,34,23,3,2,1,0,0
2018-07-15,40.42803413600622,7.74286570872499,0,33,37,29,6,2,0,1,0
2018-07-16,37.932924346112806,20.938982779734815,0,50,45,35,11,6,5,1,1
2018-07-17,40.04845476361526,11.366694178833976,0,36,32,39,14,3,4,3,0
2018-07-18,39.89490085194857,16.971902009731284,0,53,39,34,14,2,1,2,2
2018-07-19,37.527124107054846,8.391257091041116,0,49,32,31,17,4,2,0,1
2018-07-20,40.56031288821749,19.723367937309543,0,51,39,27,12,4,5,3,1
2018-07-21,40.99506347667633,26.099309345890568,0,49,35,25,5,4,2,1,0
2018-07-22,42.06542743722409,2.3750258224453127,0,33,27,28,7,0,0,0,1
2018-07-23,42.029826198249125,26.840110354187388,0,56,37,43,10,4,4,4,0
2018-07-24,37.186840333025344,11.65760447537693,0,44,41,50,12,2,3,5,1
2018-07-25,38.08353988164155,27.932655846524007,0,45,39,38,12,3,3,1,3
2018-07-26,41.00332026549887,8.466078376465253,0,40,47,34,10,2,3,1,0
2018-07-27,41.011926113380056,130.07398147907418,0,53,59,52,23,2,4,8,2
2018-07-28,41.02259548500893,36.987281671070384,0,46,25,24,4,3,1,0,1
2018-07-29,47.70314800110835,4.338634685868037,0,34,28,33,5,1,0,2,0
2018-07-30,41.14168841874824,27.88891887512972,0,51,32,42,12,5,5,2,0
2018-07-31,42.27029786690857,9.925325752494654,0,52,36,40,12,1,1,0,1
2018-08-01,41.90346633385998,10.826145873267079,0,49,35,40,14,3,5,4,2
2018-08-02,41.291579658461934,5.532693896834747,0,38,43,42,8,6,11,2,0
2018-08-03,39.34863311937323,12.766051516905977,0,36,39,37,9,7,0,7,2
2018-08-04,41.484527458528234,5.900332806599803,0,31,31,21,12,1,2,0,0
2018-08-05,38.40540268193183,0.6009188568409011,0,42,29,24,5,3,2,2,0
2018-08-06,39.458931279194125,4.761784725772672,0,45,46,30,14,3,3,2,1
2018-08-07,38.94041354427634,0.09599214668743096,0,50,53,40,13,2,2,2,3
2018-08-08,40.05052418109605,57.49456440230286,0,57,63,60,14,8,9,7,4
2018-08-09,44.48879863298532,50.60980878712715,0,68,52,48,16,8,7,6,3
2018-08-10,36.09473513461632,7.541753159080346,0,38,31,35,14,5,4,2,0
2018-08-11,41.16865729720393,19.549763671225282,0,27,35,35,7,2,2,0,0
2018-08-12,36.53467376394438,6.36527228785711,0,20,22,25,4,4,2,4,0
2018-08-13,38.77731823471175,16.67971080823407,0,65,41,43,11,9,7,5,3
2018-08-14,41.85727902417537,24.554452571030136,0,68,52,49,12,2,6,7,1
2018-08-15,39.763265523832416,43.993121287277965,1,56,23,35,11,5,4,4,0
2018-08-16,37.43168861401435,7.66769219172473,0,45,37,39,16,0,4,1,0
2018-08-17,38.10620254778453,22.938480937222756,0,50,49,46,11,6,6,2,2
2018-08-18,40.84281129799106,4.637231646232891,0,42,27,30,8,0,2,0,0
2018-08-19,37.96687817046993,69.58447858844382,0,64,47,44,11,7,5,4,3
2018-08-20,39.801730642118265,0.3916117760530979,0,41,54,60,15,7,7,3,1
2018-08-21,39.39838299018742,13.877278387559183,0,63,52,44,6,6,7,4,1
2018-08-22,37.9397065267193,16.160365812072175,1,61,47,50,16,2,2,2,0
2018-08-23,43.463724439244594,17.473471771459508,0,62,53,40,10,3,3,1,1
2018-08-24,40.37388434557818,1.9241084845500929,0,45,38,36,8,3,3,2,2
2018-08-25,34.98327284993163,41.838037583835494,0,42,25,39,9,0,4,1,0
2018-08-26,39.33130153688795,2.998425061745486,0,40,32,21,12,0,0,1,0
2018-08-27,37.557000296758154,14.622843038310565,0,43,43,36,10,3,4,4,1
2018-08-28,40.504988709327804,3.7784719335312396,0,44,35,37,10,3,4,5,1
2018-08-29,37.13202171022782,5.50556427958376,0,55,48,43,18,4,4,2,1
2018-08-30,38.40194839756531,11.860028927171593,0,37,45,35,12,3,1,1,1
2018-08-31,39.553196255459184,8.098498679089376,0,47,33,46,6,4,4,3,0
2018-09-01,40.18400096187087,2.619329937119007,0,44,38,35,12,8,8,1,2
2018-09-02,35.958661980074815,2.8118761615663233,0,49,37,28,6,2,5,3,1
2018-09-03,37.594539515557194,8.123004586692531,1,38,27,37,7,4,4,4,1
2018-09-04,37.21548989213725,21.23788550810594,0,64,40,32,14,4,3,3,1
2018-09-05,36.758140998062025,34.23653889327185,0,46,39,43,15,2,5,2,2
2018-09-06,41.492737118388355,1.318174399494141,0,60,40,33,12,5,3,5,3
2018-09-07,38.66646197270906,7.490965270750011,0,49,46,39,12,4,3,1,3
2018-09-08,35.227072505000315,1.5845010220312,0,30,33,23,4,0,0,0,0
2018-09-09,39.47461002201498,0.2509751660642479,0,39,23,27,10,0,2,0,0
2018-09-10,41.77098066934535,16.258161446979592,0,46,32,55,9,3,2,1,0
2018-09-11,39.47715062958825,13.836497444318288,0,53,20,37,12,2,4,0,2
2018-09-12,34.25683560895685,2.669310672786557,0,47,28,42,8,5,2,0,1
2018-09-13,36.208300991027116,3.9949319380191852,0,48,35,35,11,1,4,7,2
2018-09-14,39.58965839944502,0.3598995697321298,0,40,43,41,13,5,4,2,4
2018-09-15,35.51747333763221,27.02234836156702,0,31,25,28,3,4,1,0,0
2018-09-16,37.695372951062616,55.14868881938131,0,64,62,45,12,5,3,2,3
2018-09-17,38.22990674899401,2.183357544404863,0,60,44,39,4,5,6,3,1
2018-09-18,34.69770262893469,3.949236956675621,0,46,35,41,17,3,3,7,1
2018-09-19,36.30149642024204,30.42090949690826,0,53,53,51,17,11,3,2,4
2018-09-20,29.8050934658202,39.14966173814873,0,68,55,51,22,6,4,2,5
2018-09-21,34.1040707169647,8.16127407425369,1,52,34,36,10,1,2,2,2
2018-09-22,35.5111043294629,0.7792311467188502,0,34,29,20,7,1,0,0,0
2018-09-23,33.382286158995036,0.6028303279628124,0,36,36,27,9,2,1,1,0
2018-09-24,39.00254528690652,12.79797381529685,0,41,37,34,10,3,2,2,1
2018-09-25,32.7356098681805,7.485805505532916,0,35,37,34,9,2,1,4,0
2018-09-26,34.57231541201254,0.43606382519410647,0,52,30,45,9,4,4,0,2
2018-09-27,35.56878163619152,13.129117466546484,0,44,44,30,11,3,3,4,0
2018-09-28,38.043170488290755,0.1705034349362735,0,50,36,37,9,3,5,4,2
2018-09-29,32.14069383209888,23.223163832882772,0,43,32,24,6,6,0,0,0
2018-09-30,37.189054575396824,5.488607653083483,0,40,40,47,11,3,1,4,3
2018-10-01,34.732061198777814,0.3236251544084247,0,68,55,56,31,3,6,7,2
2018-10-02,32.59604963298869,1.4266388759209,1,52,31,40,15,3,5,1,0
2018-10-03,35.329394792031486,1.2345310386549742,0,51,39,48,7,4,3,1,1
2018-10-04,34.648122790842486,4.620431514216014,0,57,40,35,5,6,3,5,1
2018-10-05,32.893125833838624,5.318673730941533,0,44,39,41,11,4,6,3,0
2018-10-06,34.075506936544706,0.9676125492222795,0,23,28,21,6,1,2,3,0
2018-10-07,33.006452458316126,1.3535162084298935,0,35,22,27,11,1,2,0,0
2018-10-08,33.844171997800174,4.531277180606472,0,60,49,50,12,1,5,5,2
2018-10-09,34.78038447574943,3.287104570871972,0,49,47,43,12,1,3,6,0
2018-10-10,36.46611845453601,0.007326023978109708,0,45,38,28,13,4,2,2,1
2018-10-11,30.655439411704574,0.7715001580724368,0,49,36,31,13,1,5,5,4
2018-10-12,37.23319494204744,1.0955818033651687,0,48,51,38,8,4,2,2,3
2018-10-13,28.89813115294715,0.5219927385021728,0,42,25,24,6,0,0,0,0
2018-10-14,32.3330847372089,0.44521642900491515,0,52,27,25,2,2,1,0,1
2018-10-15,33.646856217778506,0.07703369556829247,0,52,37,47,6,5,4,4,0
2018-10-16,32.86504043777619,2.0621113566117533,0,57,42,36,16,4,4,1,2
2018-10-17,30.889810114756774,0.6090062881260434,0,63,49,54,21,5,6,3,2
2018-10-18,31.550484397221215,0.10753413155343639,0,62,41,49,15,3,9,7,2
2018-10-19,30.81166398793796,0.5252748109071537,1,54,33,29,17,2,3,2,0
2018-10-20,30.449340615496748,3.2381075221102535,0,35,38,29,7,2,0,0,0
2018-10-21,33.1571961632408,3.8141949450557444,0,22,23,41,6,3,2,2,1
2018-10-22,32.00151274645591,1.3196810930394491,0,52,36,38,8,1,2,2,1
2018-10-23,29.730770880695644,1.0759506289002125,0,40,37,39,12,4,2,1,0
2018-10-24,32.74456724903849,7.62016909182269,0,39,40,27,9,3,1,4,4
2018-10-25,31.38846383408785,0.4476992500213445,0,55,28,47,16,4,5,1,0
2018-10-26,32.22785701133585,0.4850587022693182,0,41,34,36,11,4,4,5,2
2018-10-27,31.68948001389253,0.6902471996554749,0,40,25,26,3,0,3,1,0
2018-10-28,28.600194380427183,0.3793143574728483,0,36,31,27,7,2,1,1,0
2018-10-29,28.965707888492947,0.9540261907634645,0,44,46,45,13,4,1,3,1
2018-10-30,31.408517241359647,4.83451604735881,0,59,47,39,14,6,2,0,1
2018-10-31,30.962556128595605,1.9108316704649833,0,44,37,35,15,4,3,1,3
2018-11-01,29.5279744820264,1.0618748629887258,0,49,31,34,9,3,6,1,0
2018-11-02,29.632521992959635,5.4486882959252565,0,42,35,31,14,2,1,1,2
2018-11-03,31.781464999242218,0.09935600456137306,0,44,22,37,7,2,1,0,0
2018-11-04,27.871489724156348,0.47214397384706797,0,47,25,30,11,1,1,1,0
2018-11-05,29.977604691123133,1.668908215086933,0,50,46,39,16,9,4,2,2
2018-11-06,28.308132920606404,1.911896721526966,0,66,43,60,14,9,4,2,3
2018-11-07,28.106645624346815,0.08072234010443517,1,58,58,31,10,1,2,4,0
2018-11-08,30.569483574589214,1.0318061776289524,0,45,39,43,10,5,2,1,1
2018-11-09,29.853166840720437,2.0948155959829586,0,43,45,38,11,6,4,2,1
2018-11-10,29.660290374065514,2.3951237725152756,0,36,26,26,6,0,1,0,0
2018-11-11,30.475748459910697,2.0329952257899255,0,30,27,23,8,1,1,1,0
2018-11-12,27.738950980959398,0.772982190274079,0,45,31,43,14,3,1,2,0
2018-11-13,28.893684137780575,0.19637289651826176,0,43,41,49,8,4,2,5,0
2018-11-14,26.742811559533013,1.1141316461896247,0,50,36,39,15,1,1,5,2
2018-11-15,27.84602595298472,0.2756628200514909,0,53,39,50,7,2,6,1,3
2018-11-16,26.77258569852973,5.89860057619457,0,44,42,45,10,7,6,3,3
2018-11-17,27.06292152062717,1.2893650569090755,0,40,34,33,3,3,1,1,0
2018-11-18,27.896229228628524,0.7632799121552398,0,31,23,31,7,0,3,0,0
2018-11-19,24.907435506825724,2.9074689157335327,0,55,59,58,13,4,6,3,3
2018-11-20,30.567637244073246,1.3781055186377003,0,54,47,42,16,10,6,6,0
2018-11-21,24.21088558496095,0.7422259855391783,1,67,54,52,10,5,4,4,2
2018-11-22,23.63572000785987,3.342283495686443,0,58,51,48,14,3,5,3,0
2018-11-23,28.222662158843924,4.037101596217828,1,43,50,44,14,4,2,6,1
2018-11-24,27.33332198823033,2.2356401635131835,0,43,33,28,11,3,0,1,0
2018-11-25,26.84305179059936,0.09620608763749794,0,34,25,32,5,1,2,3,0
2018-11-26,26.69762408344397,1.6709099705545565,0,52,25,49,15,5,6,4,2
2018-11-27,25.26391137756753,2.8818805342354716,0,56,38,44,9,5,4,2,2
2018-11-28,23.342764185941437,0.2935297392559739,0,42,34,43,14,2,2,0,3
2018-11-29,25.139190981929698,0.5192799111383293,0,42,50,34,7,4,3,4,0
2018-11-30,23.48505266681725,4.282550574542103,0,41,29,46,9,4,3,2,0
