donation_dates,blood_groups
2022-01-16,O_positive
2022-01-16,AB_positive
2022-01-16,O_positive
2022-01-16,O_positive
2022-01-16,O_positive
2022-01-16,A_positive
2022-01-16,O_positive
2022-01-16,AB_negative
2022-01-16,B_positive
2022-01-16,A_negative
2022-01-16,O_positive
2022-01-16,O_negative
2022-01-16,A_positive
2022-01-16,A_negative
2022-01-16,O_positive
2022-01-16,A_positive
2022-01-16,A_positive
2022-01-16,O_positive
2022-01-16,O_negative
2022-01-16,O_negative
2022-01-16,O_positive
2022-01-16,O_positive
2022-01-16,A_positive
2022-01-16,A_positive
2022-01-16,O_negative
2022-01-16,O_negative
2022-01-16,A_positive
2022-01-16,O_negative
2022-01-16,O_negative
2022-01-16,A_negative
2022-01-16,A_positive
2022-01-16,O_positive
2022-01-16,O_negative
2022-01-16,O_positive
2022-01-16,O_positive
2022-01-16,A_positive
2022-01-16,O_negative
2022-01-16,A_positive
2022-01-16,O_positive
2022-01-16,O_positive
2022-01-16,A_positive
2022-01-16,O_negative
2022-01-16,B_negative
2022-01-16,B_positive
2022-01-16,A_positive
2022-01-16,A_negative
2022-01-16,A_positive
2022-01-16,A_negative
2022-01-16,A_positive
2022-01-16,O_positive
2022-01-16,A_positive
2022-01-16,O_positive
2022-01-16,A_positive
2022-01-16,O_positive
2022-01-16,A_positive
2022-01-16,O_positive
2022-01-16,O_positive
2022-01-16,O_positive
2022-01-16,A_negative
2022-01-16,O_positive
2022-01-16,O_positive
2022-01-16,O_positive
2022-01-16,A_positive
2022-01-16,AB_negative
2022-01-16,O_negative
2022-01-16,B_positive
2022-01-16,A_positive
2022-01-17,A_positive
2022-01-17,O_positive
2022-01-17,A_positive
2022-01-17,A_positive
2022-01-17,O_negative
2022-01-17,O_positive
2022-01-17,A_positive
2022-01-17,O_positive
2022-01-17,O_positive
2022-01-17,O_positive
2022-01-17,O_positive
2022-01-17,O_positive
2022-01-17,A_positive
2022-01-17,A_positive
2022-01-17,O_positive
2022-01-17,AB_negative
2022-01-17,O_positive
2022-01-17,O_positive
2022-01-17,A_positive
2022-01-17,A_positive
2022-01-17,O_positive
2022-01-17,A_positive
2022-01-17,A_positive
2022-01-17,O_positive
2022-01-17,A_positive
2022-01-17,O_positive
2022-01-17,O_positive
2022-01-17,A_positive
2022-01-17,O_positive
2022-01-17,B_positive
2022-01-17,A_positive
2022-01-17,O_negative
2022-01-17,A_positive
2022-01-17,O_positive
2022-01-17,B_positive
2022-01-18,A_negative
2022-01-18,A_positive
2022-01-18,A_negative
2022-01-18,B_positive
2022-01-18,O_positive
2022-01-18,O_negative
2022-01-18,B_negative
2022-01-18,O_positive
2022-01-18,O_positive
2022-01-18,B_positive
2022-01-18,O_positive
2022-01-18,A_positive
2022-01-18,O_negative
2022-01-18,O_positive
2022-01-18,O_positive
2022-01-18,A_negative
2022-01-18,O_positive
2022-01-18,O_negative
2022-01-18,A_positive
2022-01-18,A_positive
2022-01-18,A_positive
2022-01-18,A_positive
2022-01-18,A_negative
2022-01-18,O_positive
2022-01-18,A_positive
2022-01-18,A_positive
2022-01-18,A_positive
2022-01-18,A_positive
2022-01-18,A_positive
2022-01-18,B_positive
2022-01-18,A_positive
2022-01-18,O_positive
2022-01-18,O_positive
2022-01-19,O_negative
2022-01-19,O_positive
2022-01-19,A_positive
2022-01-19,A_positive
2022-01-19,O_negative
2022-01-19,A_positive
2022-01-19,A_positive
2022-01-19,B_positive
2022-01-19,A_positive
2022-01-19,O_positive
2022-01-19,B_positive
2022-01-19,A_positive
2022-01-19,O_negative
2022-01-19,O_positive
2022-01-19,O_positive
2022-01-19,O_positive
2022-01-19,O_positive
2022-01-19,O_positive
2022-01-19,A_positive
2022-01-19,O_positive
2022-01-19,A_positive
2022-01-19,A_positive
2022-01-19,O_positive
2022-01-19,O_negative
2022-01-19,A_positive
2022-01-19,O_positive
2022-01-19,AB_negative
2022-01-19,A_positive
2022-01-19,A_positive
2022-01-19,O_positive
2022-01-20,A_negative
2022-01-20,B_negative
2022-01-20,O_negative
2022-01-20,O_positive
2022-01-20,O_negative
2022-01-20,A_positive
2022-01-20,A_positive
2022-01-20,O_positive
2022-01-20,O_positive
2022-01-20,A_negative
2022-01-20,O_positive
2022-01-20,O_positive
2022-01-20,O_positive
2022-01-20,A_positive
2022-01-20,B_positive
2022-01-20,AB_positive
2022-01-20,A_positive
2022-01-20,A_positive
2022-01-20,O_positive
2022-01-20,O_positive
2022-01-20,A_positive
2022-01-20,O_positive
2022-01-20,O_negative
2022-01-20,O_positive
2022-01-20,A_positive
2022-01-20,O_positive
2022-01-20,O_negative
2022-01-20,O_positive
2022-01-20,A_positive
2022-01-20,A_negative
2022-01-20,A_positive
2022-01-20,AB_positive
2022-01-20,AB_positive
2022-01-20,O_positive
2022-01-21,O_positive
2022-01-21,B_positive
2022-01-21,A_positive
2022-01-21,A_negative
2022-01-21,O_negative
2022-01-21,A_positive
2022-01-21,A_positive
2022-01-21,O_positive
2022-01-21,A_positive
2022-01-21,A_positive
2022-01-21,A_positive
2022-01-21,A_positive
2022-01-21,A_positive
2022-01-21,A_positive
2022-01-21,A_positive
2022-01-21,O_positive
2022-01-21,B_positive
2022-01-21,A_positive
2022-01-21,A_positive
2022-01-22,A_negative
2022-01-22,AB_positive
2022-01-22,O_positive
2022-01-22,B_positive
2022-01-22,O_positive
2022-01-22,A_positive
2022-01-22,O_positive
2022-01-22,O_positive
2022-01-22,O_positive
2022-01-22,O_positive
2022-01-22,B_negative
2022-01-22,O_positive
2022-01-22,A_positive
2022-01-22,A_positive
2022-01-22,O_positive
2022-01-22,O_positive
2022-01-22,A_positive
2022-01-22,O_positive
2022-01-22,O_positive
2022-01-22,O_positive
2022-01-22,A_positive
2022-01-22,A_positive
2022-01-22,A_positive
2022-01-22,O_positive
2022-01-22,O_negative
2022-01-22,A_positive
2022-01-22,A_positive
2022-01-22,O_negative
2022-01-22,A_positive
2022-01-22,O_positive
2022-01-22,O_positive
2022-01-22,B_positive
2022-01-22,O_positive
2022-01-22,B_positive
2022-01-22,A_negative
2022-01-22,AB_positive
2022-01-22,A_negative
2022-01-22,A_positive
2022-01-22,A_positive
2022-01-22,A_positive
2022-01-22,A_positive
2022-01-22,O_negative
2022-01-22,A_positive
2022-01-22,A_positive
2022-01-22,A_positive
2022-01-22,O_positive
2022-01-22,O_positive
2022-01-22,A_positive
2022-01-22,B_negative
2022-01-22,A_positive
2022-01-22,A_positive
2022-01-22,O_positive
2022-01-22,O_positive
2022-01-22,B_positive
2022-01-22,O_positive
2022-01-22,A_positive
2022-01-22,A_positive
2022-01-22,O_negative
2022-01-22,A_negative
2022-01-23,A_positive
2022-01-23,A_positive
2022-01-23,O_positive
2022-01-23,O_negative
2022-01-23,O_positive
2022-01-23,B_negative
2022-01-23,O_negative
2022-01-23,O_positive
2022-01-23,O_positive
2022-01-23,B_positive
2022-01-23,O_positive
2022-01-23,A_positive
2022-01-23,B_positive
2022-01-23,A_positive
2022-01-23,O_positive
2022-01-23,O_positive
2022-01-23,B_positive
2022-01-23,A_positive
2022-01-23,A_positive
2022-01-23,O_positive
2022-01-23,O_positive
2022-01-23,O_positive
2022-01-23,B_positive
2022-01-23,O_positive
2022-01-23,A_positive
2022-01-23,O_negative
2022-01-23,O_positive
2022-01-23,A_positive
2022-01-23,AB_positive
2022-01-23,A_positive
2022-01-23,A_positive
2022-01-23,O_positive
2022-01-23,A_positive
2022-01-23,O_positive
2022-01-23,A_positive
2022-01-23,O_positive
2022-01-23,A_positive
2022-01-23,A_positive
2022-01-23,O_positive
2022-01-23,O_positive
2022-01-23,B_positive
2022-01-23,O_positive
2022-01-23,O_positive
2022-01-23,O_positive
2022-01-23,B_positive
2022-01-23,O_positive
2022-01-23,A_positive
2022-01-23,A_positive
2022-01-23,A_positive
2022-01-23,A_positive
2022-01-23,O_positive
2022-01-23,B_positive
2022-01-23,O_negative
2022-01-23,O_positive
2022-01-23,O_positive
2022-01-23,A_positive
2022-01-23,O_positive
2022-01-23,A_positive
2022-01-23,AB_positive
2022-01-23,O_negative
2022-01-23,O_positive
2022-01-23,O_positive
2022-01-23,AB_positive
2022-01-23,O_positive
2022-01-23,A_positive
2022-01-23,O_positive
2022-01-23,O_positive
2022-01-23,O_positive
2022-01-23,O_positive
2022-01-24,B_positive
2022-01-24,O_positive
2022-01-24,O_positive
2022-01-24,A_positive
2022-01-24,A_positive
2022-01-24,O_negative
2022-01-24,A_positive
2022-01-24,A_negative
2022-01-24,A_positive
2022-01-24,A_positive
2022-01-24,O_negative
2022-01-24,O_positive
2022-01-24,A_positive
2022-01-24,O_negative
2022-01-24,B_positive
2022-01-24,A_positive
2022-01-24,O_positive
2022-01-24,O_positive
2022-01-24,A_positive
2022-01-24,B_positive
2022-01-24,O_positive
2022-01-24,O_positive
2022-01-24,O_positive
2022-01-24,A_negative
2022-01-24,A_positive
2022-01-24,A_positive
2022-01-24,O_positive
2022-01-24,A_positive
2022-01-24,O_positive
2022-01-25,AB_negative
2022-01-25,O_negative
2022-01-25,A_positive
2022-01-25,A_positive
2022-01-25,A_positive
2022-01-25,A_positive
2022-01-25,A_positive
2022-01-25,O_positive
2022-01-25,O_positive
2022-01-25,O_positive
2022-01-25,AB_positive
2022-01-25,O_positive
2022-01-25,A_positive
2022-01-25,A_positive
2022-01-25,O_positive
2022-01-25,A_positive
2022-01-25,A_positive
2022-01-25,A_positive
2022-01-25,O_positive
2022-01-25,A_negative
2022-01-25,A_positive
2022-01-25,A_positive
2022-01-25,AB_positive
2022-01-25,O_positive
2022-01-25,O_positive
2022-01-25,O_positive
2022-01-25,O_positive
2022-01-25,B_positive
2022-01-25,A_negative
2022-01-25,O_positive
2022-01-25,O_positive
2022-01-25,O_positive
2022-01-25,A_positive
2022-01-25,A_positive
2022-01-25,O_positive
2022-01-25,A_positive
2022-01-25,A_positive
2022-01-26,A_positive
2022-01-26,O_positive
2022-01-26,B_positive
2022-01-26,O_positive
2022-01-26,A_positive
2022-01-26,O_positive
2022-01-26,O_positive
2022-01-26,A_positive
2022-01-26,A_positive
2022-01-26,A_positive
2022-01-26,A_negative
2022-01-26,O_positive
2022-01-26,O_positive
2022-01-26,A_positive
2022-01-26,A_negative
2022-01-26,A_positive
2022-01-26,A_positive
2022-01-26,O_positive
2022-01-27,A_positive
2022-01-27,O_positive
2022-01-27,O_positive
2022-01-27,A_negative
2022-01-27,O_negative
2022-01-27,AB_positive
2022-01-27,A_positive
2022-01-27,A_positive
2022-01-27,A_negative
2022-01-27,B_positive
2022-01-27,O_positive
2022-01-27,O_positive
2022-01-27,O_positive
2022-01-27,O_negative
2022-01-27,O_positive
2022-01-27,O_negative
2022-01-27,A_positive
2022-01-27,O_positive
2022-01-27,A_positive
2022-01-27,O_negative
2022-01-27,A_positive
2022-01-27,O_positive
2022-01-27,O_positive
2022-01-27,O_negative
2022-01-27,A_positive
2022-01-27,A_negative
2022-01-27,B_negative
2022-01-28,A_positive
2022-01-28,O_negative
2022-01-28,O_positive
2022-01-28,O_positive
2022-01-28,A_positive
2022-01-28,O_positive
2022-01-28,B_positive
2022-01-28,O_positive
2022-01-28,A_positive
2022-01-28,O_positive
2022-01-28,O_positive
2022-01-28,A_positive
2022-01-28,B_negative
2022-01-28,A_positive
2022-01-28,B_positive
2022-01-29,A_positive
2022-01-29,O_negative
2022-01-29,A_positive
2022-01-29,O_positive
2022-01-29,A_positive
2022-01-29,B_negative
2022-01-29,B_positive
2022-01-29,AB_positive
2022-01-29,O_positive
2022-01-29,O_positive
2022-01-29,O_positive
2022-01-29,A_positive
2022-01-29,O_positive
2022-01-29,A_negative
2022-01-29,O_positive
2022-01-29,A_positive
2022-01-29,B_positive
2022-01-29,A_positive
2022-01-29,AB_positive
2022-01-29,A_positive
2022-01-29,O_positive
2022-01-29,O_positive
2022-01-29,O_positive
2022-01-29,A_negative
2022-01-29,B_positive
2022-01-29,A_positive
2022-01-29,O_positive
2022-01-29,B_negative
2022-01-29,O_positive
2022-01-29,O_positive
2022-01-29,A_positive
2022-01-29,O_positive
2022-01-29,O_positive
2022-01-29,O_positive
2022-01-29,O_positive
2022-01-29,B_positive
2022-01-29,O_positive
2022-01-29,A_positive
2022-01-29,A_positive
2022-01-29,AB_positive
2022-01-29,A_positive
2022-01-29,A_positive
2022-01-29,A_positive
2022-01-29,O_positive
2022-01-29,A_positive
2022-01-29,O_positive
2022-01-29,A_negative
2022-01-29,A_positive
2022-01-29,O_positive
2022-01-29,A_positive
2022-01-30,O_positive
2022-01-30,B_positive
2022-01-30,A_positive
2022-01-30,A_positive
2022-01-30,O_negative
2022-01-30,O_negative
2022-01-30,O_positive
2022-01-30,O_positive
2022-01-30,O_positive
2022-01-30,A_positive
2022-01-30,A_negative
2022-01-30,A_positive
2022-01-30,A_positive
2022-01-30,O_positive
2022-01-30,O_positive
2022-01-30,O_negative
2022-01-30,A_negative
2022-01-30,O_negative
2022-01-30,O_negative
2022-01-30,B_negative
2022-01-30,B_negative
2022-01-30,AB_positive
2022-01-30,O_positive
2022-01-30,O_positive
2022-01-30,O_positive
2022-01-30,A_positive
2022-01-30,O_negative
2022-01-30,AB_negative
2022-01-30,O_positive
2022-01-30,O_positive
2022-01-30,O_positive
2022-01-30,A_negative
2022-01-30,A_negative
2022-01-30,A_positive
2022-01-30,O_positive
2022-01-30,B_positive
2022-01-30,A_positive
2022-01-30,A_positive
2022-01-30,A_positive
2022-01-30,A_positive
2022-01-30,A_positive
2022-01-30,A_positive
2022-01-30,A_positive
2022-01-30,O_positive
2022-01-30,O_positive
2022-01-30,O_positive
2022-01-30,O_positive
2022-01-30,A_positive
2022-01-30,A_positive
2022-01-30,AB_positive
2022-01-30,O_positive
2022-01-30,O_negative
2022-01-30,O_positive
2022-01-30,O_positive
2022-01-30,O_negative
2022-01-30,O_positive
2022-01-30,O_positive
