ds,max_temp_c,rainfall_mm,is_holiday,O_positive,A_positive,B_positive,AB_positive,A_negative,B_negative,O_negative,AB_negative
2018-01-27,18.853543615704126,1.5882691234645447,0,53,41,33,13,4,4,7,2
2018-01-28,20.376531431798295,0.9891941055275175,0,48,41,38,14,5,4,7,2
2018-01-29,19.39945391271929,1.7894951416626022,0,70,49,41,17,6,4,9,2
2018-01-30,19.710621230407817,0.5353368743885951,0,68,46,45,17,6,4,9,2
2018-01-31,19.40579327537377,0.8211973944765332,0,64,51,48,17,5,4,9,2
2018-02-01,21.867923972953296,1.7971938211379401,0,63,54,44,16,5,4,9,2
2018-02-02,20.013253044180512,1.7925134329431578,0,56,41,35,13,5,4,8,2
2018-02-03,18.98309910957231,1.3714255376493618,0,53,40,37,13,5,4,8,2
2018-02-04,20.88036584316367,1.7179610942444403,0,48,37,35,14,5,4,7,2
2018-02-05,18.856934255849655,0.17754653391246533,0,71,47,48,15,5,5,9,2
2018-02-06,20.309538644131223,1.7299899524155526,0,65,51,44,17,6,4,9,2
2018-02-07,18.16683545218036,0.6412398131004535,0,70,52,43,15,5,5,9,2
2018-02-08,18.827075783580646,0.35666302485643264,0,70,50,43,17,6,5,9,2
2018-02-09,20.38379653315303,0.4787396726840927,0,51,42,34,13,4,4,7,2
2018-02-10,20.95998316493884,0.8359370160277741,0,57,42,35,13,5,4,7,2
2018-02-11,20.430363729465768,0.5023840092089344,0,82,64,55,21,7,5,11,3
2018-02-12,20.18371249909669,0.6411351720329981,0,60,48,43,17,6,4,8,2
2018-02-13,20.041496927862163,0.2699569721432842,1,45,35,29,11,4,3,6,2
2018-02-14,18.910180170909566,0.592353531117997,0,67,48,48,17,5,4,9,2
2018-02-15,19.717807525686236,1.1445676290840023,0,65,50,42,15,5,4,9,2
2018-02-16,20.028796066088677,0.8837074161821279,0,53,41,36,13,5,3,7,2
2018-02-17,21.60115835194749,0.6934375224718223,0,57,44,37,14,5,3,8,2
2018-02-18,20.945057710149506,1.492904257714228,0,54,38,37,13,5,4,7,2
2018-02-19,18.898587556408014,1.7870199427866358,0,63,51,44,15,5,5,8,2
2018-02-20,21.04866713360283,1.513578445804794,0,68,53,44,16,6,4,9,2
2018-02-21,20.405204842417337,0.6640014042353584,0,67,51,45,16,6,4,8,2
2018-02-22,20.181798117840707,1.4888843356751074,0,58,51,45,16,6,4,8,2
2018-02-23,21.54153816081451,0.3039603649481024,0,55,42,35,13,4,4,7,2
2018-02-24,22.034690825973517,0.26063597618258183,0,55,43,33,14,4,4,7,2
2018-02-25,22.011466654520714,0.6912540740723179,0,54,38,35,13,4,4,7,2
2018-02-26,20.320107377343724,1.615404738088114,0,69,46,42,18,6,4,8,2
2018-02-27,20.931870572706355,0.49269649448460373,0,64,49,43,17,5,4,8,2
2018-02-28,21.656699884107596,0.12650681779735917,0,67,45,44,17,6,4,9,2
2018-03-01,22.38790554436433,0.2634190704127102,0,61,52,45,17,5,4,9,2
2018-03-02,21.022654846879433,1.7174899370591603,0,55,43,40,13,5,3,6,2
2018-03-03,21.4081569669914,1.2675665694945752,0,60,40,35,13,5,3,7,2
2018-03-04,20.581958762335894,0.5064023267399533,0,51,40,38,14,4,3,7,2
2018-03-05,20.589027842895188,1.1105916506563627,0,64,49,45,17,6,5,8,2
2018-03-06,22.69713523232059,1.0551592448507008,0,64,50,47,17,6,5,9,2
2018-03-07,23.34262914682406,1.3108719568813225,0,66,50,45,16,6,4,9,2
2018-03-08,22.018533310851893,0.46637510884323263,0,63,51,42,16,5,5,8,2
2018-03-09,23.200574387184272,1.7288059743887954,0,55,40,33,14,4,4,7,2
2018-03-10,22.667487756208256,0.6187371241600257,0,57,43,37,14,5,3,8,2
2018-03-11,21.771822160609254,1.3882633079524738,0,56,42,35,14,5,3,7,2
2018-03-12,22.89167472854286,0.03224929274442978,0,61,48,42,17,6,5,8,2
2018-03-13,24.183866336826114,0.7453142597882945,0,69,53,41,17,5,4,8,2
2018-03-14,22.727733577930923,0.7034196359176166,0,69,46,44,17,6,4,9,2
2018-03-15,24.44807743299626,1.086968857166029,0,68,49,47,16,5,4,9,2
2018-03-16,20.385671625393783,0.145472523554393,0,55,43,35,14,4,4,7,2
2018-03-17,23.951374832138555,1.5802627474522166,0,55,39,37,13,5,4,7,2
2018-03-18,23.342610879908715,0.43556160353513707,0,57,41,36,14,5,3,7,2
2018-03-19,23.08464646711135,1.3540756297640204,0,72,51,41,16,5,4,10,2
2018-03-20,23.605465166185688,1.6064242464881864,0,63,48,45,16,5,4,9,2
2018-03-21,21.658108076497335,1.1237539124830263,0,69,49,42,16,6,5,9,2
2018-03-22,23.55986062775381,1.481766413443971,0,66,49,44,16,6,4,9,2
2018-03-23,24.272343870360483,1.323720624430011,0,54,39,35,14,5,3,7,2
2018-03-24,25.53062717513388,0.7110595943040152,0,49,46,38,12,4,4,7,2
2018-03-25,23.673727047188343,1.6177170780671306,0,53,39,34,14,5,4,7,2
2018-03-26,23.524488834195637,0.589402739771056,0,63,52,45,17,5,4,8,2
2018-03-27,23.973889824739267,1.1424258355030343,0,95,71,62,23,8,6,13,3
2018-03-28,25.535350402319075,1.490795478283079,0,93,70,63,24,8,6,13,3
2018-03-29,25.094595036004183,0.7579118196250152,1,45,35,23,12,4,3,7,2
2018-03-30,24.383530357711916,0.6055352152348501,1,33,27,27,9,3,2,5,1
2018-03-31,25.575511931513585,0.9186920203456455,0,54,43,37,13,5,3,7,2
2018-04-01,25.309739148190154,1.6359269886983072,0,49,44,34,14,4,4,8,2
2018-04-02,26.333142281504383,1.8598435262913295,0,62,56,42,16,5,4,9,2
2018-04-03,24.81565348871854,1.0901668257197803,0,67,50,43,17,6,4,9,2
2018-04-04,25.34458192789792,1.3229324106473037,0,64,48,45,17,6,4,10,2
2018-04-05,25.435955820744674,1.8065472444778283,0,69,51,40,17,5,4,10,2
2018-04-06,24.52160515980815,0.1970937028258848,0,55,40,36,13,4,4,7,2
2018-04-07,26.439486214628506,0.4641571557323301,0,56,43,40,13,5,4,7,2
2018-04-08,26.56380984327316,1.417800012503165,0,58,38,34,13,5,3,8,2
2018-04-09,26.468352234878747,1.6474889238245993,0,65,55,44,16,6,4,9,2
2018-04-10,26.39018387068372,1.7140580566611558,0,64,51,48,18,5,4,9,2
2018-04-11,25.371932641025943,0.8302143537098652,0,69,46,45,17,6,4,9,2
2018-04-12,26.53014243067175,0.17867980458373367,0,68,48,44,16,6,4,8,2
2018-04-13,26.77246115466714,0.8755629545992398,0,53,42,37,13,5,3,7,2
2018-04-14,26.478141155437324,0.46146918041410756,0,58,43,35,14,4,4,7,2
2018-04-15,27.28518133717212,0.5823929099932483,0,53,38,39,13,4,4,7,2
2018-04-16,28.01732319675504,1.5445351136750116,0,66,51,43,16,6,4,9,2
2018-04-17,29.666970771168877,0.15105417205177374,0,66,45,40,18,6,5,9,2
2018-04-18,28.123532814145648,1.6551624349614042,0,63,49,43,16,5,4,9,2
2018-04-19,28.37528329229032,0.8553381716483381,0,66,52,42,17,5,5,9,2
2018-04-20,28.21262264241906,1.1921278622011902,0,58,39,35,14,4,4,7,2
2018-04-21,26.538140578058147,0.179304462471358,0,55,37,35,13,5,4,7,2
2018-04-22,28.600698403418132,0.6747181567145593,0,54,41,38,13,4,4,7,2
2018-04-23,28.858149760947498,0.17940183802969156,0,66,48,45,16,6,4,9,2
2018-04-24,31.43222513801094,1.9230874457622191,0,67,51,45,16,6,4,8,2
2018-04-25,28.94799104784441,1.6145232986525009,0,68,48,44,17,5,4,8,2
2018-04-26,29.613523074310415,0.9192655087129205,0,68,48,42,16,6,4,9,2
2018-04-27,29.449091558062218,0.4472050966473422,0,53,36,32,14,4,4,7,2
2018-04-28,28.48710584615301,1.8669102104997044,0,85,63,56,22,7,6,11,3
2018-04-29,30.970689252956674,0.6891931914539435,0,55,40,38,14,5,4,7,2
2018-04-30,30.751933032686775,0.3219688633747495,1,43,32,30,12,4,3,6,2
2018-05-01,30.963165508601392,1.1263287769079098,0,67,50,43,15,5,5,9,2
2018-05-02,29.434828661432718,1.8875482406896322,0,60,52,45,17,5,5,9,2
2018-05-03,31.918990983168637,0.00766058100064515,0,67,49,44,18,6,4,8,2
2018-05-04,29.286173205230916,0.4762496865079975,0,56,41,39,11,4,4,7,2
2018-05-05,31.446505081174735,1.8768952808208152,0,56,41,38,14,4,3,7,2
2018-05-06,33.22147260028433,0.3421719337143241,0,53,38,38,13,4,4,7,2
2018-05-07,30.21154412386284,0.22648690327963972,0,67,54,46,16,5,4,8,2
2018-05-08,30.806489991529876,1.140374431599609,0,70,48,41,17,5,5,9,2
2018-05-09,31.642739571730452,1.7236876465896598,0,70,51,45,18,6,4,9,2
2018-05-10,31.209455787698577,0.9542196353878523,0,66,51,45,17,5,5,9,2
2018-05-11,30.33160366736631,1.9891285133690495,0,54,40,37,13,4,3,8,2
2018-05-12,32.11960797349222,1.3583433990759857,0,57,42,37,13,4,4,7,2
2018-05-13,31.15691141631555,0.14814981442089548,0,49,41,37,14,4,4,8,2
2018-05-14,32.86032009069468,1.9856642633639507,0,65,46,49,17,6,4,8,2
2018-05-15,31.63410871692807,0.8157884735603809,0,70,49,44,16,5,5,10,2
2018-05-16,34.26951598035859,0.5748050676909651,0,69,48,46,16,6,5,9,2
2018-05-17,32.101571036469856,1.1157583671557711,0,67,48,43,19,6,4,9,2
2018-05-18,32.72715073035721,0.6086151836417286,0,49,38,38,14,4,4,7,2
2018-05-19,34.026213834293316,136.636235306072,0,79,62,55,21,7,5,10,3
2018-05-20,32.14436467950718,0.0028566861583534386,0,52,44,37,12,5,4,7,2
2018-05-21,33.764221156367846,0.8991667058405246,0,67,52,47,16,5,5,9,2
2018-05-22,35.004388183189164,1.6737268444531845,0,64,52,42,17,5,4,9,2
2018-05-23,32.24915082787484,1.144630371260153,0,63,49,43,16,5,5,9,2
2018-05-24,34.19951375059203,1.9984145978868817,0,60,48,44,18,6,4,8,2
2018-05-25,34.431818820371596,0.5736932912943999,0,58,39,38,15,4,3,7,2
2018-05-26,35.10957879728162,0.5609101295201107,0,53,42,36,13,4,4,8,2
2018-05-27,33.245342706526024,0.3194989204678884,0,54,41,39,15,4,3,7,2
2018-05-28,33.31504609594423,0.32812717653067036,0,66,49,43,16,6,4,9,2
2018-05-29,35.30927996677478,0.5703731920200956,0,63,52,42,18,6,5,9,2
2018-05-30,35.23474017483296,1.5856800905470543,0,62,50,45,17,6,4,9,2
2018-05-31,35.33720228886692,1.8115135812728957,0,63,48,44,17,5,5,9,2
2018-06-01,35.58060428315248,21.410240087516424,0,77,58,54,21,7,5,11,3
2018-06-02,34.70002699380451,29.278772684207144,0,189,143,125,48,16,13,25,6
2018-06-03,35.7566068288372,19.05472027661313,0,52,43,35,14,4,4,7,2
2018-06-04,35.960090036209856,22.868831911098646,0,71,51,44,16,6,5,9,2
2018-06-05,35.09365131651164,6.71126131415042,0,69,54,44,17,6,4,10,2
2018-06-06,37.81304138075239,15.441674895424867,0,68,53,43,16,6,4,9,2
2018-06-07,36.55860162206305,7.908962129112397,0,66,50,44,17,6,5,9,2
2018-06-08,35.029163987206026,20.31989588841276,0,84,57,52,19,7,5,11,3
2018-06-09,37.0108766175356,28.462053955353866,0,78,56,54,18,7,5,11,3
2018-06-10,35.511613940122494,21.544443311790964,0,54,40,36,14,5,4,7,2
2018-06-11,37.40343078616523,6.9200762078605385,0,67,51,49,17,6,5,9,2
2018-06-12,37.903031767336856,13.866655124627071,0,68,54,44,17,5,4,8,2
2018-06-13,36.04984535388496,18.766584486021287,0,68,50,43,16,6,4,8,2
2018-06-14,37.957959399760796,15.080193903331306,0,95,75,69,25,8,7,13,3
2018-06-15,37.529347149754244,25.84110026187931,0,95,72,65,24,8,7,13,3
2018-06-16,38.05850054295362,25.36677511774973,1,84,63,57,19,7,5,10,3
2018-06-17,39.250963212293804,20.295775502580536,0,56,42,37,12,5,3,7,2
2018-06-18,37.22433276096268,14.336448628317632,0,83,59,57,20,7,6,11,3
2018-06-19,36.829321920428136,11.383409344081103,0,61,49,45,17,5,5,9,2
2018-06-20,36.80463383921386,7.646857955328233,0,65,52,42,16,5,5,9,2
2018-06-21,36.98714822574232,13.87244208716385,0,68,50,45,17,6,5,9,2
2018-06-22,37.83235485815367,15.329312930192987,0,101,69,61,25,7,6,13,3
2018-06-23,38.35476285656341,21.89557312760184,0,98,71,67,25,8,7,13,3
2018-06-24,38.39208138940363,21.453995607439335,0,70,53,46,18,6,5,10,2
2018-06-25,39.04194878206017,6.752703491031424,0,65,49,45,17,5,4,10,2
2018-06-26,38.32470815553599,14.881482885778944,0,70,48,45,16,6,4,9,2
2018-06-27,39.8597181335021,9.544471680434048,0,66,50,45,18,6,5,9,2
2018-06-28,38.233514082037324,8.920317632920142,0,63,51,45,16,6,4,9,2
2018-06-29,41.30780874934765,25.682553743431146,0,101,76,65,25,8,7,13,3
2018-06-30,39.30023089506098,6.0478804179064385,0,73,50,49,20,7,5,10,3
2018-07-01,37.90175949502615,15.479571897553033,0,67,50,49,18,5,5,10,2
2018-07-02,37.769782601372526,9.205091394162956,0,63,49,46,17,6,5,9,2
2018-07-03,39.40228587983867,26.98325539196185,0,71,51,42,18,5,4,9,2
2018-07-04,38.77284591119658,18.92601283187588,0,67,51,41,16,5,5,9,2
2018-07-05,39.78413862211845,10.7845159094212,0,66,51,43,17,5,5,9,2
2018-07-06,39.61451750642688,17.56068217915941,0,78,58,55,19,6,5,12,2
2018-07-07,39.13688396450947,23.287158992577897,0,97,72,67,24,9,7,13,3
2018-07-08,38.42862311772356,28.952950222985844,0,72,52,46,18,6,5,10,2
2018-07-09,37.823525063543386,10.511150106135474,0,67,51,45,16,6,4,9,2
2018-07-10,38.952045627351936,27.154544303233628,0,66,47,48,17,5,5,9,2
2018-07-11,40.3123626685949,28.357602854187256,0,69,51,45,17,6,4,9,2
2018-07-12,39.72465890708174,27.910513613301656,0,66,50,47,16,6,4,8,2
2018-07-13,38.31660948720707,20.88535892154775,0,97,75,68,25,8,7,14,3
2018-07-14,39.78447876457419,20.74551636086769,0,77,58,51,20,6,5,10,2
2018-07-15,40.042716756277386,15.08026582959557,0,48,37,36,13,5,3,7,2
2018-07-16,38.81678178231394,23.809947057594698,0,72,48,44,17,6,4,10,2
2018-07-17,39.89472965766973,18.282350458773298,0,90,65,59,22,7,6,11,3
2018-07-18,39.83669213350257,21.935951780707363,0,64,44,46,17,5,4,8,2
2018-07-19,38.67009440488547,15.711447596219886,0,65,49,45,16,6,4,8,2
2018-07-20,40.202525527869206,23.287411601078478,0,77,61,47,20,7,5,11,3
2018-07-21,40.4342789503081,25.611787940113725,0,102,74,62,24,8,6,12,3
2018-07-22,40.98237619404881,8.660906415070404,0,73,57,47,19,6,5,10,3
2018-07-23,40.97602414621422,25.8232428893557,0,66,50,44,15,6,5,8,2
2018-07-24,38.564509700982434,18.507413294757683,0,87,65,59,23,7,6,12,3
2018-07-25,39.02136492155667,26.116647727255607,0,91,67,60,22,7,6,12,3
2018-07-26,40.48828499829021,15.782542658525365,0,88,70,57,22,7,6,12,3
2018-07-27,40.49814016246785,14.476012134575877,0,65,55,48,18,6,5,10,2
2018-07-28,40.50754779870288,27.87651831293056,0,95,73,65,24,8,6,12,3
2018-07-29,43.85041651045363,11.279231688710032,0,51,39,33,12,5,4,7,2
2018-07-30,40.57079790805507,26.105308132153578,0,85,65,54,21,7,6,11,3
2018-07-31,41.13473222672798,17.1005143127351,0,70,46,44,17,5,4,8,2
2018-08-01,40.94946457036678,17.852386063781495,0,78,62,59,21,7,6,11,3
2018-08-02,40.64018840715613,12.711707037237101,0,64,51,47,18,5,4,9,2
2018-08-03,39.66390236401357,19.32605501547539,0,96,75,66,23,8,7,13,3
2018-08-04,40.72555823803497,13.130279906905283,0,73,57,48,19,6,5,10,3
2018-08-05,39.17822789646941,5.981735356041308,0,56,41,38,14,5,4,6,2
2018-08-06,39.695749885934134,11.7999651336089,0,86,65,57,22,7,6,12,3
2018-08-07,39.42577709210544,5.159476085164767,0,67,51,42,14,6,4,10,2
2018-08-08,39.96865004170973,29.458869676421415,0,85,63,54,23,7,6,12,3
2018-08-09,42.174140066311814,29.143680245493687,0,67,48,44,16,5,4,8,2
2018-08-10,37.962000327208074,14.878882436807626,0,56,41,35,13,5,4,8,2
2018-08-11,40.48239710682941,23.20927135849115,0,99,76,68,25,8,7,14,4
2018-08-12,38.14738963513403,13.645152460260624,0,56,36,31,14,4,3,7,2
2018-08-13,39.24925010050118,21.7773289271494,0,117,89,78,30,10,8,15,4
2018-08-14,40.768328427208004,25.13575107614948,0,69,51,39,17,5,5,9,2
2018-08-15,39.69898550473695,28.66890611730602,1,45,34,33,12,4,3,5,1
2018-08-16,38.50943339194366,15.0053068962418,0,67,55,45,17,6,4,9,2
2018-08-17,38.82150625704449,24.582449573901194,0,79,58,52,20,6,6,11,3
2018-08-18,40.16321354905639,11.64821126580297,0,54,40,37,13,5,3,7,2
2018-08-19,38.697244802187065,29.75830759484121,0,55,40,34,13,4,3,7,2
2018-08-20,39.58527205253629,5.644239969108779,0,98,72,64,25,8,7,13,3
2018-08-21,39.35281115028361,20.088220162528025,0,62,49,46,17,5,4,9,2
2018-08-22,38.59130687432512,21.48764954128318,1,74,49,40,18,6,5,9,2
2018-08-23,41.31978034991926,22.201138926853222,0,84,66,59,22,8,6,11,3
2018-08-24,39.73996532326017,8.009689469727226,0,52,40,36,14,4,3,7,2
2018-08-25,37.00841543658924,28.46324458682826,0,97,76,65,24,8,6,13,3
2018-08-26,39.14484722211852,9.52958197625207,0,55,45,39,14,5,4,7,2
2018-08-27,38.21878676152654,20.568835080996028,0,88,66,53,21,7,6,11,3
2018-08-28,39.65255537453158,10.566901978077123,0,81,63,56,23,7,6,12,3
2018-08-29,37.92454244866052,12.680410425531772,0,87,65,55,21,7,6,12,3
2018-08-30,38.516684839032216,18.66146354320311,0,60,49,47,18,5,5,8,2
2018-08-31,39.048208976478726,15.429835464114412,0,99,78,65,24,8,6,14,3
2018-09-01,39.31824576770075,9.005640024412656,0,85,63,55,21,7,5,12,3
2018-09-02,37.158958387130596,9.273410060521208,0,83,55,52,20,6,5,10,3
2018-09-03,37.92904075139815,15.453619704069991,1,46,33,32,11,4,3,6,2
2018-09-04,37.6904352032982,23.93207445688752,0,85,63,55,20,7,6,11,3
2018-09-05,37.411470230635736,27.449116171194714,0,85,64,61,20,7,6,11,3
2018-09-06,39.72728287810725,7.103191556484571,0,82,62,57,20,7,6,11,3
2018-09-07,38.2614802617481,14.827597688985026,0,50,42,35,14,5,3,8,2
2018-09-08,36.487956459335365,7.506139093071916,0,78,52,50,19,7,5,10,3
2018-09-09,38.556748074960204,5.414812015814947,0,50,41,35,13,5,4,7,2
2018-09-10,39.64882447233272,21.542967066098914,0,86,64,52,20,7,5,11,3
2018-09-11,38.44468536903711,20.061236049164695,0,66,48,44,16,6,4,9,2
2018-09-12,35.77620557491086,9.075477845372156,0,70,48,46,17,6,4,9,2
2018-09-13,36.69253506389337,10.845320827326603,0,65,45,43,16,6,4,9,2
2018-09-14,38.3227472502584,5.592693841112959,0,55,44,34,13,5,3,7,2
2018-09-15,36.225142803250996,25.873680142360094,0,80,58,56,20,6,5,11,3
2018-09-16,37.25155352291639,29.367264901213787,0,54,41,33,13,5,4,7,2
2018-09-17,37.45527269556467,8.38648841986727,0,65,51,40,18,6,5,9,2
2018-09-18,35.624633100512774,10.786880344132452,0,86,67,54,21,7,6,12,3
2018-09-19,36.36102177630384,26.71023809867335,0,115,88,76,30,10,8,16,4
2018-09-20,33.04636080588927,28.16159494890462,0,62,48,45,17,5,4,9,2
2018-09-21,35.128458358298985,15.490684570170258,1,63,45,39,15,5,4,8,2
2018-09-22,35.76367248085606,6.265561806726853,0,56,43,36,14,5,3,8,2
2018-09-23,34.630069340959885,5.9847958423204854,0,54,40,38,13,5,4,7,2
2018-09-24,37.37013398297488,19.34874665172526,0,88,60,54,22,7,6,11,3
2018-09-25,34.165751246141134,14.822377722329476,0,81,58,56,20,7,6,11,3
2018-09-26,35.012359898709526,5.716310689441363,0,70,47,47,16,6,4,9,2
2018-09-27,35.438041058905426,19.58130980781392,0,67,51,43,16,6,5,9,2
2018-09-28,36.601897199224645,5.282563414725562,0,51,40,37,12,5,4,7,2
2018-09-29,33.57655598327832,24.684298953731822,0,105,73,66,26,8,7,13,3
2018-09-30,36.02589082324186,12.660820567584288,0,110,79,74,25,9,7,15,4
2018-10-01,34.72182813775822,0.29879877690754464,0,66,50,41,16,5,4,9,2
2018-10-02,33.577558284036634,1.0199701586269942,1,48,34,27,11,4,3,6,2
2018-10-03,34.86729131776822,0.9211651013893332,0,86,65,57,24,8,6,11,3
2018-10-04,34.44906309526901,1.8015203249014649,0,91,69,57,21,8,6,12,3
2018-10-05,33.49334271099742,1.8600107555821452,0,47,44,35,13,5,4,7,2
2018-10-06,34.00570485155468,0.7671347820145842,0,51,37,36,13,4,4,8,2
2018-10-07,33.39176605517788,0.9834758860379789,0,57,41,37,13,4,4,7,2
2018-10-08,33.73065465254892,1.7924724982922662,0,65,48,43,16,6,5,9,2
2018-10-09,34.11825380122838,1.613415615490123,0,67,49,42,16,6,5,9,2
2018-10-10,34.880101638390656,0.0073126226892985535,0,62,50,43,16,5,4,9,2
2018-10-11,31.893254910531425,0.640119128367165,0,72,49,42,17,6,4,9,2
2018-10-12,35.10016156739117,0.8435484838722518,0,58,41,34,12,4,3,8,2
2018-10-13,30.850218952469653,0.45943256736646343,0,73,57,46,18,6,5,10,2
2018-10-14,32.484869832244485,0.3991432317918775,0,53,41,36,13,4,4,6,2
2018-10-15,33.05853901129393,0.07556901319135934,0,69,48,43,17,5,4,8,2
2018-10-16,32.584048570041155,1.286739450139521,0,72,48,46,18,6,4,9,2
2018-10-17,31.51250963457737,0.5250205809663313,0,99,69,61,24,8,6,12,3
2018-10-18,31.758606647578492,0.10469435686262618,0,73,48,43,18,5,5,8,2
2018-10-19,31.30466492259679,0.4619586210561273,1,31,30,26,8,3,2,5,1
2018-10-20,31.038705372440962,1.603827905672253,0,52,39,34,13,4,4,6,2
2018-10-21,32.30759406621978,1.7029783632930933,0,50,38,36,15,4,4,7,2
2018-10-22,31.64449726049086,0.9661324903866053,0,67,50,42,17,5,4,8,2
2018-10-23,30.423680475956296,0.8321413408173723,0,67,49,41,17,6,4,8,2
2018-10-24,31.84496737360524,1.9557073870035635,0,66,49,47,17,6,5,8,2
2018-10-25,31.08116431321124,0.4011293191761398,0,68,53,44,17,6,4,8,2
2018-10-26,31.414994892496892,0.43071856570921696,0,58,42,36,13,5,4,7,2
2018-10-27,31.05985117196892,0.5837343540727995,0,49,39,33,13,5,4,8,2
2018-10-28,29.429189391349258,0.3455146365621746,0,52,40,37,13,5,4,7,2
2018-10-29,29.525888928689916,0.7587311964083732,0,68,48,46,17,5,4,9,2
2018-10-30,30.661223636236382,1.8216684539795076,0,65,51,46,16,6,4,9,2
2018-10-31,30.352185863162138,1.2306956812571486,0,64,49,45,17,6,5,8,2
2018-11-01,29.54887607599055,0.8238930972245273,0,69,45,42,17,6,5,8,2
2018-11-02,29.515194609650855,1.8688215891424296,0,50,40,37,13,4,4,7,2
2018-11-03,30.503800103453795,0.09692846495164464,0,53,37,37,13,5,4,7,2
2018-11-04,28.463061112992175,0.42055235580372274,0,55,45,32,13,4,4,8,2
2018-11-05,29.430507309953093,1.131777210203518,0,94,70,62,24,8,6,13,3
2018-11-06,28.510325573040298,1.2311052463863583,0,68,49,46,17,5,4,8,2
2018-11-07,28.324326827574037,0.07911501312522629,1,44,35,32,11,4,3,6,2
2018-11-08,29.470706722602024,0.8060775158142643,0,70,49,41,16,5,4,8,2
2018-11-09,29.027750491732405,1.2983079296617455,0,54,40,38,14,4,4,7,2
2018-11-10,28.846780738064876,1.3961410928068032,0,56,41,36,14,5,4,7,2
2018-11-11,29.17026965275637,1.2762798050325386,0,56,44,38,13,4,4,7,2
2018-11-12,27.71794713932664,0.6411264487218491,0,64,51,43,17,5,4,9,2
2018-11-13,28.211731166485613,0.18704024719581902,0,60,53,45,18,6,4,9,2
2018-11-14,27.05307831612647,0.8542248928386682,0,67,47,46,17,6,4,8,2
2018-11-15,27.52185960049628,0.25750887473611095,0,66,50,43,17,5,5,9,2
2018-11-16,26.902728752897414,1.8952473170413342,0,56,41,36,13,5,4,8,2
2018-11-17,26.965925555634453,0.9503417320452565,0,53,41,35,14,5,3,8,2
2018-11-18,27.301072203191612,0.6345183487137351,0,53,44,39,15,5,4,7,2
2018-11-19,25.725656190059194,1.5326081422378002,0,102,72,64,23,8,6,13,3
2018-11-20,28.475249968387786,0.9958971851645277,0,62,49,42,16,5,4,9,2
2018-11-21,25.21690296646065,0.6200680480249001,1,78,58,49,19,6,5,11,3
2018-11-22,24.8499086206476,1.6239354847816034,0,64,45,44,17,6,5,9,2
2018-11-23,27.064551285343857,1.734304302002244,1,33,25,24,8,3,2,5,1
2018-11-24,26.541659294267397,1.346016332577354,0,53,40,33,13,4,4,7,2
2018-11-25,26.218931973547203,0.09392884481533459,0,52,38,40,13,4,4,7,2
2018-11-26,26.069278574179688,1.1326457603330642,0,68,52,45,17,5,4,9,2
2018-11-27,25.276158150414446,1.5265898239945632,0,70,47,45,16,6,5,8,2
2018-11-28,24.240018557427266,0.27300602416716435,0,67,49,44,17,5,4,9,2
2018-11-29,25.063386423735974,0.4573415027692067,0,66,50,44,17,6,4,9,2
